,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.57,0.72,0.54,0.96,0.92,0.5,0.35,0.75,0.72,0.61,1.0,0.69,0.85,0.79
carabiner.csv,0.83,0.9,0.86,0.8,1.0,0.82,0.65,0.97,0.93,0.74,0.79,0.74,0.79,1.0
elvishrayrenderer.csv,0.78,0.13,0.64,0.48,0.5,0.41,1.0,0.09,0.35,0.5,0.17,0.43,0.71,0.05
fleet-simulator.csv,1.0,1.0,1.0,0.88,0.8,0.82,1.0,1.0,0.96,1.0,0.59,0.97,0.97,1.0
gmerlin.csv,0.0,0.85,1.0,0.96,0.92,0.95,0.52,0.66,1.0,0.59,0.97,0.91,0.88,1.0
gnome-jabber.csv,0.7,0.64,0.89,0.64,0.52,0.09,0.61,0.81,0.63,0.72,0.55,0.51,0.71,0.79
ipfilter.csv,0.87,0.33,0.86,0.8,0.9,1.0,0.97,0.72,0.65,0.93,0.97,0.74,0.97,0.68
irplus.csv,0.57,0.41,0.64,0.64,0.38,0.23,0.36,0.66,0.52,0.59,0.34,0.49,0.62,0.68
mevenide.csv,0.13,0.0,0.11,0.0,0.28,0.18,0.0,0.19,0.07,0.22,0.72,0.17,0.21,0.11
moving-pictures.csv,0.17,0.26,0.71,0.52,0.7,0.18,0.57,0.06,0.26,0.76,0.21,0.51,0.5,0.63
opensim4opencog.csv,0.52,0.56,0.46,0.56,0.62,0.36,0.33,0.75,0.63,0.48,1.0,0.49,0.47,0.63
rockbox.csv,0.3,0.49,0.5,0.32,0.12,0.27,0.41,0.62,0.43,0.43,0.31,0.46,0.53,0.79
ta3d.csv,0.09,0.0,0.11,0.24,0.32,0.32,0.25,0.0,0.35,0.46,0.34,0.69,0.06,0.0
xcmetadataservicestoolkit.csv,0.52,0.05,0.29,0.48,0.82,0.45,1.0,0.75,0.67,0.67,0.62,1.0,0.76,0.0
