,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,99.0,478.0,97.5,1457.5,144.0,93.5,156.0,921.0,197.5,350.0,99.0,1622.5,711.0,85.5,98.5,386.0,197.5
baadengine.csv,99.0,2716.0,99.0,3337.0,97.5,96.5,192.0,972.5,99.0,622.5,99.0,1622.5,794.5,97.5,98.5,386.0,99.0
bibedt.csv,97.5,1128.0,99.0,1300.5,97.5,192.0,94.5,291.0,99.0,256.5,99.0,455.0,158.0,97.5,88.5,444.5,98.5
exl.csv,97.5,2253.0,98.5,2958.5,97.5,99.0,94.5,974.0,196.5,561.0,99.0,169.5,531.0,461.5,89.5,96.0,98.5
gdis.csv,99.0,982.5,99.0,4245.0,97.5,93.5,94.5,878.0,198.0,1893.0,99.0,689.5,248.5,97.5,98.5,386.0,99.0
gogoego.csv,97.5,1424.0,99.0,590.0,97.5,96.5,192.0,674.5,99.0,787.5,96.5,252.5,353.0,97.5,98.5,75.5,79.5
httpcontentparser.csv,99.0,1590.5,98.5,1690.0,97.5,93.5,74.5,581.5,99.0,161.0,98.5,1654.5,536.0,97.5,0.0,93.5,89.5
jaxlib.csv,99.0,706.0,99.0,2936.0,94.5,96.5,94.5,780.5,99.0,1621.5,99.0,199.5,165.0,365.0,97.5,444.5,98.5
jgameai.csv,74.5,276.0,68.5,250.5,97.5,93.5,283.5,403.5,198.0,241.5,1814.0,379.5,342.0,289.0,184.5,0.0,0.0
jhotdraw.csv,198.0,2176.5,99.0,3723.0,191.0,99.0,0.0,1069.5,98.5,1617.5,99.0,1616.0,426.5,97.5,98.5,645.5,99.0
loki-lib.csv,99.0,2202.5,99.0,4068.0,97.5,99.0,192.0,876.0,99.0,903.0,99.0,1013.5,617.5,638.5,98.5,355.0,99.0
patterntesting.csv,198.0,2760.5,99.0,4544.0,97.5,99.0,192.0,1267.0,99.0,252.5,99.0,1622.5,708.0,97.5,98.5,386.0,99.0
pokeglobal.csv,198.0,2402.5,98.5,1553.5,97.5,195.0,192.0,587.5,99.0,959.5,99.0,1537.0,531.0,97.5,222.5,617.5,98.5
werx.csv,198.0,2610.5,99.0,4544.0,97.5,99.0,192.0,1267.0,99.0,1893.0,99.0,1562.0,794.5,97.5,98.5,386.0,99.0
xbg.csv,198.0,541.0,0.0,389.5,151.5,109.0,231.0,718.5,292.5,1065.5,1146.0,111.5,178.5,176.0,0.0,138.5,99.0
zealos.csv,93.5,572.0,96.5,903.0,30.5,181.5,94.5,471.0,99.0,253.5,328.0,808.0,243.5,97.5,98.5,338.0,0.0
