,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.98,0.94,0.67,0.96,0.8,0.83,0.83,0.76,0.58,0.54,0.53,0.31,0.83,0.67,0.45,0.47,0.79
baadengine.csv,0.5,0.35,0.5,0.37,0.4,0.44,0.54,0.34,0.36,0.35,0.44,0.29,0.4,0.5,0.36,0.44,0.45
bibedt.csv,0.98,0.55,0.54,0.53,0.46,0.61,0.56,0.76,0.47,0.91,0.71,0.77,0.67,0.64,0.54,0.8,0.47
exl.csv,0.99,0.4,0.48,0.51,0.68,0.56,0.88,0.43,0.54,0.95,0.65,0.8,0.36,0.68,0.73,0.88,0.42
gdis.csv,0.53,0.68,0.5,0.49,0.43,0.73,0.55,0.45,0.51,0.44,0.52,0.52,0.56,0.6,0.38,0.49,0.44
gogoego.csv,0.83,0.5,0.7,0.68,0.47,0.49,0.43,0.58,0.54,0.37,0.54,0.86,0.36,0.45,0.29,0.83,0.36
httpcontentparser.csv,0.63,0.43,0.56,0.74,0.44,0.88,0.5,0.44,0.39,0.8,0.61,0.38,0.5,0.75,0.0,0.65,0.41
jaxlib.csv,0.59,0.74,0.98,0.52,0.47,0.62,0.54,0.57,0.98,0.6,0.48,0.8,0.64,0.67,0.79,0.68,0.44
jgameai.csv,0.67,0.9,0.5,0.8,0.83,0.72,0.55,0.98,0.97,0.88,0.98,0.82,0.74,0.83,0.89,0.0,0.0
jhotdraw.csv,0.49,0.48,0.37,0.49,0.43,0.57,0.0,0.37,0.84,0.58,0.73,0.45,0.7,0.52,0.44,0.81,0.62
loki-lib.csv,0.52,0.36,0.37,0.42,0.41,0.5,0.51,0.36,0.39,0.37,0.45,0.39,0.41,0.48,0.32,0.45,0.38
patterntesting.csv,0.42,0.37,0.37,0.41,0.39,0.49,0.54,0.36,0.37,0.54,0.45,0.33,0.41,0.39,0.38,0.48,0.46
pokeglobal.csv,0.41,0.35,0.37,0.52,0.43,0.44,0.54,0.54,0.39,0.62,0.47,0.4,0.36,0.65,0.83,0.58,0.44
werx.csv,0.42,0.42,0.37,0.41,0.42,0.49,0.54,0.38,0.36,0.43,0.45,0.31,0.39,0.4,0.36,0.44,0.73
xbg.csv,0.83,0.89,0.0,0.86,0.8,0.5,0.88,0.96,0.94,0.88,0.97,0.67,0.8,0.71,0.0,0.8,0.75
zealos.csv,0.99,0.9,0.94,0.94,0.5,0.92,0.58,0.97,0.98,0.71,0.88,0.56,0.8,0.8,0.39,0.89,0.0
