,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.97,0.79,0.0,0.66,0.65,0.88
bullet.csv,1.0,0.68,0.72,0.05,0.83,0.63
openintents.csv,0.93,0.0,0.58,0.67,0.44,0.63
pokenetonline.csv,0.8,0.52,0.86,0.6,0.83,0.0
tktoolkit.csv,1.0,0.97,0.75,0.91,0.0,1.04
zealos.csv,0.0,0.68,0.71,0.74,0.9,0.49
