,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.62,0.52,0.94,0.64,0.65,0.59,0.0,0.38
decidr.csv,0.51,0.64,0.26,0.56,0.99,0.53,0.0,0.61
exist.csv,0.45,0.56,0.29,0.56,0.6,0.97,0.0,0.29
ivatamasks.csv,1.0,0.56,0.37,0.61,0.47,0.53,0.0,0.8
libopenmetaverse.csv,0.31,0.53,0.35,1.0,0.3,0.29,0.0,0.52
mule.csv,0.34,0.97,0.06,0.51,0.44,0.49,0.0,0.52
runuomondains.csv,0.2,0.15,0.36,0.13,0.11,0.21,0.0,0.9
