,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.68,0.0,0.64,0.3,0.73,0.34,0.83,0.37,0.52,0.64
bibedt.csv,0.25,0.06,0.18,0.02,0.0,0.29,0.0,0.2,0.18,0.26
cascading.csv,0.1,0.56,0.53,0.53,0.2,0.35,0.56,0.31,0.03,0.35
firebreath.csv,0.55,0.79,0.01,0.11,0.07,0.3,0.56,0.35,0.39,0.7
fritzing.csv,0.0,0.5,0.17,0.04,0.07,0.4,0.17,0.29,0.27,0.51
httpcontentparser.csv,0.23,0.27,0.01,0.0,0.0,0.0,0.27,0.04,0.0,0.36
mpgravity.csv,0.29,0.67,0.2,0.11,0.0,0.56,0.22,0.55,0.24,0.4
patterntesting.csv,0.4,0.92,0.28,0.02,0.07,0.46,0.24,0.51,0.3,0.68
roller.csv,0.35,0.44,0.64,0.36,0.37,0.58,0.51,0.02,0.39,0.55
xfce.csv,0.27,0.65,0.46,0.38,0.63,0.54,0.51,0.59,0.58,0.0
