,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.37,0.97,0.42,0.13,0.35,0.1,0.2,0.46,0.63,0.52
bibedt.csv,0.52,0.1,0.36,0.45,0.0,0.28,0.95,0.6,0.26,0.6
cascading.csv,0.28,0.66,0.56,0.59,0.46,0.24,0.31,0.64,0.99,0.65
firebreath.csv,0.57,0.58,0.97,0.54,0.33,0.31,0.31,0.68,0.53,0.72
fritzing.csv,0.99,0.54,0.48,0.32,0.0,0.28,0.45,0.64,0.36,0.75
httpcontentparser.csv,0.38,0.3,0.09,0.12,0.29,0.86,0.09,0.21,0.11,0.32
mpgravity.csv,0.58,0.53,0.5,0.68,1.0,0.25,0.27,0.72,0.41,0.65
patterntesting.csv,0.68,0.67,0.37,0.97,0.0,0.25,0.33,0.69,0.54,0.72
roller.csv,0.44,0.33,0.58,0.62,0.46,0.23,0.45,0.98,0.65,0.71
xfce.csv,0.58,0.52,0.47,0.37,0.31,0.27,0.32,0.73,0.61,0.99
