,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.58,0.99,0.38,0.23,0.55,0.68,0.38,0.65,0.11,0.37,0.58,0.45,0.36,0.67,0.71,0.26,0.49,0.38,0.65
boost.csv,0.59,0.54,0.56,0.5,0.38,0.39,0.54,0.96,0.46,0.57,0.51,0.73,0.33,0.45,0.53,0.11,0.45,0.64,0.59
codepurge.csv,0.27,0.36,0.18,0.35,0.4,0.21,0.15,0.2,0.28,0.44,0.5,0.56,0.82,0.38,0.29,0.13,0.23,0.12,0.51
elateportal.csv,0.18,0.13,0.0,0.48,0.0,0.11,0.45,0.01,0.0,0.04,0.28,0.22,0.42,0.23,0.0,1.0,0.11,0.0,0.18
etics.csv,1.0,0.33,0.35,0.41,0.29,0.31,0.54,0.17,0.31,0.52,0.26,0.32,0.2,0.42,0.29,0.09,0.13,0.18,0.42
factor.csv,0.18,0.12,0.15,0.59,0.0,0.21,0.35,0.37,0.07,0.17,0.21,0.13,0.15,0.06,0.29,0.02,0.1,0.99,0.28
gusanos.csv,0.49,0.45,0.46,0.73,0.63,0.78,0.65,0.44,0.99,0.42,0.4,0.59,0.61,0.47,0.5,0.27,0.23,0.68,0.61
kvs.csv,0.55,0.41,0.37,0.55,1.0,0.21,0.54,0.31,0.27,0.62,0.51,0.5,0.15,0.32,0.0,0.0,0.16,0.23,0.37
lcfizvtop.csv,0.43,0.32,0.33,0.44,0.24,1.0,0.22,0.27,0.22,0.13,0.38,0.47,0.46,0.37,0.0,0.62,0.4,0.36,0.53
mcore3d.csv,0.61,0.52,0.98,0.61,0.6,0.62,0.57,0.55,0.54,0.63,0.64,0.52,0.69,0.51,0.67,0.5,0.5,0.37,0.67
modellus.csv,0.51,0.32,0.51,0.61,0.29,0.0,1.0,0.65,0.54,0.65,0.4,0.5,0.42,0.44,0.54,0.09,0.33,0.14,0.58
modplug.csv,0.21,0.56,0.59,0.6,0.6,0.56,0.64,0.61,0.64,0.29,1.0,0.56,0.51,0.57,0.72,0.48,0.63,0.18,0.59
passwordsafe.csv,0.49,0.52,0.49,0.62,0.39,0.4,0.6,0.46,0.43,0.66,0.49,0.63,0.52,0.94,0.53,0.81,0.75,0.48,0.66
pixel-commandos.csv,0.27,0.16,0.06,0.02,0.0,0.0,0.0,0.1,0.09,0.47,0.11,0.07,0.0,0.27,1.0,0.0,0.02,0.02,0.29
projecteqemu.csv,0.62,0.37,0.43,0.42,0.06,0.11,0.3,0.23,0.47,0.95,0.4,0.29,0.2,0.35,0.29,0.02,0.27,0.46,0.39
pydev.csv,0.58,0.34,0.26,0.35,0.6,0.4,0.25,0.49,0.16,0.57,0.45,0.98,0.15,0.29,0.76,0.06,0.3,0.35,0.5
sandiaportals.csv,0.0,0.62,0.53,0.7,0.45,0.44,0.75,0.5,0.56,0.66,0.71,0.62,0.67,0.71,0.69,0.88,0.98,0.63,0.72
uwom.csv,0.63,0.43,0.58,0.44,0.52,0.31,0.62,0.54,0.49,0.64,0.47,0.56,0.25,0.62,0.74,0.85,0.47,0.5,0.96
xbplayer.csv,0.36,0.24,0.2,0.98,0.34,0.21,0.46,0.22,0.26,0.41,0.24,0.43,0.33,0.27,0.29,0.11,0.27,0.28,0.42
