,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.11,0.22,0.28,0.35,0.97,0.26,0.0,0.18,0.13,0.06,0.17,0.13,0.35
codepurge.csv,0.25,0.18,0.28,0.45,0.12,0.39,0.19,0.43,0.51,0.28,0.93,0.37,0.66
crisscross.csv,0.29,0.98,0.28,0.37,0.21,0.26,0.0,0.31,0.45,0.16,0.23,0.49,0.22
elvishrayrenderer.csv,0.4,0.32,0.76,0.6,0.61,0.54,0.17,0.4,0.47,0.31,0.25,0.51,1.0
gwanted.csv,0.14,0.12,0.61,0.22,0.08,0.0,0.17,0.48,0.33,0.94,0.0,0.0,0.06
jitterbit.csv,0.19,0.23,0.33,0.57,0.16,0.43,0.21,0.98,0.49,0.36,0.16,0.46,0.69
ldview.csv,0.18,0.14,0.42,0.59,0.21,0.98,0.31,0.46,0.51,0.29,0.14,0.4,0.46
libopenmetaverse.csv,0.32,0.28,0.85,0.99,0.62,0.54,0.18,0.45,0.34,0.27,0.26,0.64,0.57
mb-unit.csv,0.41,0.3,1.0,0.64,0.59,0.43,0.16,0.28,0.49,0.32,0.26,0.61,0.75
mvdsv.csv,0.0,0.0,0.0,0.15,0.0,0.09,1.0,0.02,0.0,0.0,0.0,0.0,0.11
nova.csv,0.96,0.32,0.48,0.47,0.34,0.24,0.0,0.44,0.34,0.21,0.25,0.51,0.53
olex2.csv,0.2,0.32,0.43,0.45,0.6,0.41,0.5,0.41,0.38,0.23,0.26,0.97,0.66
tolven.csv,0.12,0.29,0.27,0.18,0.04,0.23,0.0,0.33,0.91,0.23,0.07,0.22,0.21
