,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.1,0.46,0.19,0.32,0.96,0.28,0.0,0.22,0.13,0.09,0.29,0.1,0.29
codepurge.csv,0.39,0.32,0.2,0.42,0.09,0.48,0.54,0.38,0.69,0.46,0.9,0.34,0.59
crisscross.csv,0.27,0.96,0.2,0.35,0.16,0.27,0.0,0.38,0.52,0.21,0.37,0.47,0.18
elvishrayrenderer.csv,0.43,0.62,0.61,0.13,0.61,0.64,0.21,0.55,0.6,0.61,0.49,0.52,1.0
gwanted.csv,0.1,0.12,0.49,0.17,0.05,0.0,0.37,0.68,0.28,0.91,0.0,0.0,0.04
jitterbit.csv,0.26,0.47,0.23,0.57,0.13,0.52,0.68,0.97,0.65,0.66,0.25,0.42,0.63
ldview.csv,0.26,0.17,0.32,0.59,0.16,0.96,0.68,0.56,0.69,0.43,0.2,0.36,0.39
libopenmetaverse.csv,0.35,0.39,0.4,0.98,0.4,0.57,0.61,0.64,0.48,0.47,0.58,0.65,0.32
mb-unit.csv,0.56,0.09,0.99,0.62,0.31,0.46,0.0,0.39,0.64,0.62,0.47,0.49,0.66
mvdsv.csv,0.0,0.0,0.0,0.1,0.0,0.06,1.0,0.01,0.0,0.0,0.0,0.0,0.07
nova.csv,0.93,0.62,0.37,0.43,0.32,0.27,0.0,0.56,0.36,0.36,0.59,0.51,0.46
olex2.csv,0.18,0.62,0.33,0.44,0.59,0.38,0.71,0.54,0.39,0.39,0.33,0.96,0.59
tolven.csv,0.1,0.28,0.19,0.13,0.02,0.17,0.0,0.29,0.87,0.21,0.05,0.16,0.15
