,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.39,0.58,0.53,0.43,0.0,0.56,0.0,0.25,0.5,0.11,0.3,0.69,0.28,0.23,0.05,0.75,0.35
beast-mcmc.csv,0.65,0.13,0.0,0.13,0.23,0.26,0.15,0.38,0.0,0.14,0.39,0.23,0.41,0.23,0.29,0.46,0.62
bscwweasel.csv,0.0,0.04,0.1,0.0,0.12,0.08,0.13,0.25,0.0,0.06,0.1,0.03,0.14,0.01,0.01,0.04,0.04
codeblocks.csv,0.26,0.54,0.26,0.08,0.79,0.0,0.72,0.62,0.83,0.11,0.23,0.63,0.24,0.66,0.93,0.62,0.31
gamestone.csv,0.09,0.0,0.06,0.04,0.02,0.13,0.06,0.25,0.0,0.02,0.13,0.06,0.08,0.04,0.08,0.0,0.19
iaml.csv,0.74,0.44,0.72,0.44,0.42,0.41,0.43,0.38,0.58,0.85,0.0,0.29,0.47,0.75,0.29,0.42,0.73
jbasic.csv,0.07,0.21,0.13,0.14,0.09,0.05,0.08,0.25,0.0,0.02,0.16,0.17,0.13,0.06,0.42,0.04,0.31
modplug.csv,0.83,0.35,0.44,0.51,0.49,0.51,0.61,0.62,0.42,0.21,0.3,0.71,0.42,0.78,0.92,0.0,0.69
pdfedit.csv,0.96,0.17,0.49,0.13,0.0,0.18,0.12,0.38,0.0,0.53,0.38,0.31,0.19,0.48,0.09,0.25,0.65
redshell.csv,0.93,0.96,0.68,0.35,0.84,0.85,0.99,0.12,1.0,0.8,0.9,0.83,0.62,0.74,0.97,0.92,0.62
sabbu.csv,0.02,0.31,0.54,0.38,0.47,0.15,0.56,0.25,0.0,0.52,0.55,0.37,0.5,0.34,0.72,0.62,0.62
silvertree.csv,0.22,0.13,0.26,0.16,0.33,0.13,0.18,0.12,0.0,0.38,0.3,0.0,0.35,0.17,0.2,0.04,0.42
t-2.csv,0.89,0.56,0.53,0.46,0.56,0.72,0.47,0.5,0.58,0.44,0.59,0.54,0.0,0.49,0.94,0.29,0.42
xinity.csv,0.24,0.31,0.28,0.14,0.35,0.26,0.13,0.25,0.25,0.52,0.37,0.43,0.34,0.28,0.48,0.54,0.04
xreal.csv,0.0,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.03,0.0,0.0,0.02,0.0,0.0
zabbix.csv,0.87,0.85,0.82,0.68,0.65,0.79,0.74,0.88,0.92,0.77,0.92,0.97,0.83,0.75,0.01,0.71,0.92
zengine.csv,0.59,0.46,0.83,0.68,0.81,0.69,0.8,0.75,0.0,0.39,0.58,0.74,0.97,0.81,0.69,0.88,0.96
