,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.37,0.57,0.43,0.33,0.02,0.46,0.91,0.14,0.24,0.17,0.38,0.53,0.16,0.79,0.24,0.52,0.36
beast-mcmc.csv,0.57,0.0,0.96,0.18,0.37,0.44,0.57,0.44,0.25,0.31,0.47,0.48,0.52,0.44,0.39,0.4,0.58
bscwweasel.csv,0.0,0.15,0.24,1.0,0.06,0.2,0.3,0.23,0.04,0.17,0.07,0.1,0.09,0.0,0.04,0.28,0.12
codeblocks.csv,0.22,0.49,0.28,0.35,0.49,1.0,0.63,0.61,0.32,0.29,0.17,0.65,0.37,0.72,0.26,0.66,0.38
gamestone.csv,0.09,1.0,0.07,0.06,0.02,0.1,0.11,0.06,0.1,0.04,0.07,0.15,0.09,0.45,0.04,0.38,0.12
iaml.csv,0.55,0.7,0.54,0.63,0.62,0.59,0.61,0.5,0.56,0.42,0.99,0.58,0.71,0.47,0.41,0.52,0.52
jbasic.csv,0.33,0.29,0.35,0.45,0.15,0.19,0.2,0.13,0.1,0.98,0.22,0.24,0.25,0.0,0.13,0.16,0.45
modplug.csv,0.48,0.41,0.56,0.46,0.6,0.64,0.68,0.59,0.56,0.37,0.4,0.47,0.56,0.59,0.29,1.0,0.48
pdfedit.csv,0.17,0.29,0.66,0.18,0.93,0.34,0.35,0.42,0.31,0.78,0.31,0.62,0.24,0.84,0.32,0.49,0.52
redshell.csv,0.27,0.17,0.58,0.48,0.48,0.44,0.05,0.97,0.0,0.5,0.35,0.49,0.69,0.64,0.13,0.3,0.59
sabbu.csv,0.98,0.29,0.67,0.52,0.66,0.42,0.61,0.55,0.37,0.73,0.45,0.61,0.34,0.77,0.4,0.46,0.6
silvertree.csv,0.45,0.14,0.37,0.29,0.37,0.39,0.61,0.29,0.34,0.62,0.29,0.97,0.36,0.45,0.21,0.21,0.35
t-2.csv,0.34,0.49,0.37,0.23,0.42,0.43,0.37,0.45,0.35,0.2,0.58,0.34,0.91,0.0,0.22,0.42,0.23
xinity.csv,0.56,0.29,0.64,0.12,0.53,0.58,0.41,0.52,0.21,0.67,0.4,0.71,0.42,0.62,0.63,0.57,0.99
xreal.csv,0.0,0.15,0.02,0.0,0.0,0.0,0.0,0.06,0.06,0.4,0.0,0.05,0.0,1.0,0.02,0.02,0.0
zabbix.csv,0.39,0.42,0.49,0.45,0.62,0.55,0.54,0.39,0.3,0.57,0.3,0.13,0.45,0.62,0.98,0.62,0.3
zengine.csv,0.68,0.78,0.49,0.66,0.48,0.59,0.54,0.54,1.0,0.64,0.42,0.62,0.13,0.54,0.58,0.38,0.17
