,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.53,0.0,0.39,0.67,0.0,0.53,0.0,1.0,0.64,0.14,0.67,0.5,0.56,0.35
crisscross.csv,0.22,0.29,0.98,0.3,0.0,0.14,0.0,0.11,0.39,0.79,0.42,0.26,0.11,0.24
gisgraphy.csv,0.3,0.16,0.0,0.52,0.0,0.19,0.0,0.38,0.33,0.25,0.0,0.25,0.15,1.0
glelite.csv,0.52,0.37,0.3,0.92,0.16,0.68,0.03,0.88,0.84,0.97,1.0,0.63,0.78,0.48
gnome-jabber.csv,0.45,0.37,0.19,0.86,0.17,0.67,0.0,0.85,0.61,0.99,0.87,0.49,0.74,0.5
ivataopenportal.csv,0.5,0.24,0.15,0.76,0.24,0.97,0.0,0.77,0.67,0.59,0.63,0.39,0.57,0.47
mb-unit.csv,0.5,0.33,0.34,0.99,0.19,0.7,0.05,0.87,0.7,0.5,0.96,0.61,0.5,0.26
mvdsv.csv,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.18,0.04,0.0,0.03,0.0,0.0
nova.csv,0.5,1.0,0.38,0.7,0.0,0.55,0.05,0.56,0.64,0.7,0.81,0.66,0.47,0.28
olex2.csv,0.46,0.0,0.29,0.47,0.12,0.41,0.0,0.43,0.38,0.14,0.56,0.98,0.29,0.5
openwbem.csv,0.95,0.19,0.26,0.64,0.14,0.41,0.06,0.68,0.58,0.86,0.54,0.54,0.43,0.51
tencompetence.csv,0.38,0.0,0.19,0.6,0.13,0.62,0.09,0.6,0.72,0.1,0.73,0.22,0.98,0.18
xcmetadataservicestoolkit.csv,0.45,0.0,0.3,0.71,0.18,0.63,0.05,0.76,0.99,0.96,0.84,0.46,0.73,0.28
