,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.6,0.0,0.68,0.53,0.0,0.48,0.0,0.99,0.55,0.1,0.56,0.5,0.49,0.48
crisscross.csv,0.17,0.47,0.96,0.21,0.0,0.1,0.0,0.07,0.29,0.59,0.32,0.21,0.07,0.21
gisgraphy.csv,0.28,0.18,0.0,0.41,0.0,0.15,0.0,0.28,0.25,0.17,0.0,0.21,0.12,1.0
glelite.csv,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0
gnome-jabber.csv,0.4,0.59,0.39,0.39,0.24,0.27,0.0,0.5,0.52,0.88,0.0,0.48,0.32,0.6
ivataopenportal.csv,0.59,0.34,0.22,0.49,0.78,0.96,0.0,0.47,0.53,0.46,0.5,0.41,0.45,0.54
mb-unit.csv,0.34,0.27,0.63,0.99,0.51,0.58,0.76,0.33,0.6,0.37,0.0,0.63,0.44,0.35
mvdsv.csv,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.12,0.02,0.0,0.02,0.0,0.0
nova.csv,0.59,1.0,0.72,0.57,0.0,0.49,0.69,0.47,0.53,0.56,0.0,0.7,0.39,0.38
olex2.csv,0.45,0.0,0.33,0.36,0.36,0.35,0.0,0.33,0.31,0.1,0.44,0.98,0.23,0.65
openwbem.csv,0.94,0.26,0.46,0.5,0.49,0.39,0.82,0.58,0.5,0.0,0.41,0.55,0.36,0.66
tencompetence.csv,0.46,0.0,0.28,0.47,0.36,0.4,0.9,0.48,0.62,0.06,0.0,0.16,0.98,0.21
xcmetadataservicestoolkit.csv,0.52,0.0,0.0,0.55,0.43,0.59,0.72,0.55,0.98,0.0,0.59,0.48,0.67,0.39
