,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.48,0.0,0.27,0.86,0.0,0.67,0.0,1.0,0.76,1.0,1.0,0.53,0.73,0.28
crisscross.csv,0.49,0.21,1.0,0.91,0.0,0.53,0.0,0.88,0.91,0.95,1.0,0.46,0.83,0.33
gisgraphy.csv,0.43,0.17,0.0,0.84,0.0,0.5,0.0,0.88,0.64,1.0,0.0,0.39,0.26,1.0
glelite.csv,0.36,0.23,0.17,0.86,0.09,0.51,0.02,0.78,0.73,0.95,1.0,0.46,0.65,0.31
gnome-jabber.csv,0.33,0.24,0.11,0.85,0.09,0.52,0.0,0.8,0.77,0.98,0.98,0.41,0.64,0.35
ivataopenportal.csv,0.38,0.19,0.12,0.84,0.14,1.0,0.0,0.77,0.71,0.98,0.99,0.36,0.58,0.33
mb-unit.csv,0.35,0.6,0.23,0.99,0.1,0.56,0.03,0.79,0.76,0.94,0.98,0.59,0.65,0.2
mvdsv.csv,0.67,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
nova.csv,0.38,1.0,0.24,0.87,0.0,0.48,0.02,0.8,0.72,0.96,0.97,0.57,0.8,0.21
olex2.csv,0.54,0.0,0.3,0.88,0.07,0.61,0.0,0.81,0.61,1.0,1.0,0.98,0.53,0.38
openwbem.csv,0.97,0.16,0.18,0.85,0.08,0.48,0.03,0.87,0.76,0.94,0.98,0.45,0.5,0.39
tencompetence.csv,0.3,0.0,0.16,0.85,0.08,0.5,0.05,0.75,0.77,1.0,0.97,0.57,0.99,0.18
xcmetadataservicestoolkit.csv,0.41,0.0,0.17,0.86,0.1,0.54,0.02,0.78,1.0,0.95,0.98,0.42,0.73,0.21
