,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.36,0.0,0.4,0.52,0.52,0.23,0.47,0.0,0.47,0.0,0.0,0.35,0.3,0.6
crisscross.csv,0.08,0.5,0.0,0.11,0.25,0.08,0.24,0.03,0.07,0.6,0.0,0.18,0.02,0.17
gisgraphy.csv,0.17,0.23,0.04,0.43,0.05,0.12,0.1,0.12,0.33,0.0,0.0,0.24,0.52,0.0
glelite.csv,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.99,1.0
gnome-jabber.csv,0.86,0.7,0.77,0.88,0.94,0.93,0.73,0.82,0.4,0.4,1.0,0.75,0.91,0.73
ivataopenportal.csv,0.67,0.39,0.29,0.77,0.59,0.0,0.54,0.82,0.67,0.2,0.33,0.65,0.75,0.77
mb-unit.csv,0.9,0.05,0.48,0.03,0.83,0.77,0.61,0.91,0.53,0.4,1.0,0.37,0.4,0.67
mvdsv.csv,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.67,0.0,0.63,0.51,0.52,0.76,0.69,0.39,0.6,0.4,1.0,0.48,0.15,0.71
olex2.csv,0.19,0.05,0.14,0.25,0.4,0.21,0.46,0.24,0.47,0.0,0.0,0.01,0.32,0.54
openwbem.csv,0.02,0.36,0.4,0.55,0.76,0.41,0.53,0.3,0.4,1.0,0.33,0.68,0.66,0.52
tencompetence.csv,0.69,0.09,0.27,0.46,0.37,0.87,0.36,0.58,0.53,0.0,1.0,0.08,0.02,0.38
xcmetadataservicestoolkit.csv,0.41,0.09,1.0,0.58,0.87,0.69,0.66,0.73,0.0,1.0,0.67,0.58,0.47,0.69
