,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.22,0.45,0.93,0.13,0.06,0.54,0.57,0.44,0.59,0.2,0.7,0.69,0.08,0.65,0.13,0.86,0.52
cubefs.csv,0.31,0.18,0.26,0.06,0.08,0.5,0.13,0.52,0.62,0.3,0.77,0.63,0.0,0.47,0.07,0.47,0.79
gwanted.csv,0.49,0.53,0.62,0.32,0.38,0.4,0.76,0.43,0.51,0.5,0.5,0.21,0.0,0.06,0.1,0.03,0.46
iaml.csv,0.14,0.31,0.55,0.23,0.34,0.35,0.42,0.31,0.7,0.27,0.18,0.17,0.0,0.42,0.1,0.14,0.38
java-gnome.csv,0.82,0.21,0.21,0.11,0.18,0.42,0.04,0.4,0.41,0.28,0.4,0.87,0.17,0.14,0.07,0.43,0.74
mecat.csv,0.69,0.28,0.53,0.24,0.32,0.02,0.0,0.18,0.01,0.33,0.0,0.1,0.0,0.0,0.43,0.0,0.35
mvdsv.csv,0.73,0.07,0.04,0.28,0.86,0.05,0.47,0.21,0.11,0.1,0.16,0.41,0.0,0.0,0.21,0.03,0.2
openwbem.csv,0.51,0.56,0.85,0.2,0.24,0.76,0.64,0.4,0.4,0.4,0.76,0.48,0.07,0.69,0.09,0.38,0.74
orc.csv,0.08,0.49,0.69,0.48,0.0,0.09,0.75,0.34,0.27,0.3,0.6,0.22,0.0,0.0,0.14,0.23,0.43
plato.csv,0.44,0.53,0.99,0.15,0.16,0.76,0.9,0.53,0.76,0.32,0.43,0.43,0.03,0.71,0.11,0.76,0.81
rodin-b-sharp.csv,0.69,0.01,0.51,0.4,0.21,0.21,0.69,0.8,0.47,0.2,0.2,0.87,0.0,0.0,0.04,0.56,0.25
ta3d.csv,0.54,0.2,0.14,0.13,0.0,0.42,0.09,0.14,0.42,0.3,0.12,0.52,0.0,0.0,0.0,0.25,0.67
tycho.csv,0.52,0.5,0.79,0.26,0.19,0.53,0.57,0.38,0.47,0.39,0.66,0.58,0.08,0.76,0.16,0.47,0.6
umber.csv,0.76,0.56,0.84,0.19,0.19,0.63,0.91,0.54,0.67,0.25,0.81,0.88,0.0,0.35,0.09,0.79,0.72
vienna-add-in.csv,0.47,0.43,0.61,0.13,0.0,0.76,0.71,0.31,0.37,0.24,0.61,0.32,0.07,0.68,0.05,0.5,0.63
wpdev.csv,0.41,0.53,1.0,0.19,0.17,0.78,0.91,0.53,0.67,0.26,0.82,0.86,0.04,0.72,0.1,0.71,0.8
