,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.1,0.5,0.65,0.5,0.0,0.24,0.0,0.0,0.33,0.11
fityk.csv,0.16,0.2,0.67,0.91,0.61,0.02,0.24,0.78,0.34,0.24
freenet.csv,0.09,0.33,0.78,0.65,0.54,0.05,0.29,0.65,0.32,0.29
geogebra.csv,0.15,0.58,0.69,0.84,0.6,0.03,0.53,0.71,0.38,0.44
hibernate.csv,0.33,0.23,0.83,0.74,0.87,0.07,0.4,0.77,0.44,0.38
itext.csv,0.15,0.23,0.67,0.81,0.79,0.04,0.23,0.76,0.32,0.25
k3b.csv,0.13,0.22,0.7,0.86,0.61,0.04,0.34,0.65,0.33,0.23
lamp.csv,0.25,0.42,0.71,0.74,0.67,0.03,0.37,0.72,0.36,0.24
megameknet.csv,0.12,0.28,0.72,0.72,0.53,0.01,0.43,0.7,0.3,0.23
thout.csv,0.1,0.47,0.65,0.67,0.53,0.06,0.22,0.65,0.27,0.23
