,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.0,0.16,0.18,0.62,0.11,0.4,0.25,0.26,0.73,0.23,0.22,0.03
codesmith.csv,0.52,0.33,0.55,0.44,0.42,0.26,0.49,0.56,0.54,0.26,0.25,0.0
icescrum.csv,0.26,0.16,0.45,0.18,0.21,0.51,0.27,0.14,0.37,0.06,0.0,0.09
ingex.csv,0.16,0.01,0.13,0.05,0.08,0.26,0.23,0.0,0.32,0.08,0.09,0.15
jrefactory.csv,0.49,0.52,0.0,0.59,0.76,0.31,0.45,0.42,0.44,0.21,0.56,0.38
jsecurity.csv,0.12,0.06,0.21,0.01,0.18,0.06,0.21,0.12,0.05,0.15,0.03,0.09
libopenmetaverse.csv,0.7,0.6,0.74,0.57,0.68,0.0,0.68,0.46,0.63,0.58,0.41,0.41
lite.csv,0.1,0.09,0.26,0.08,0.08,0.26,0.1,0.08,0.0,0.06,0.5,0.15
mobicents.csv,0.36,0.46,0.53,0.53,0.37,0.34,0.0,0.44,0.37,0.25,0.19,0.32
opendvr.csv,0.75,0.51,0.58,0.66,0.68,0.91,0.68,0.56,0.68,0.0,0.59,0.76
openefm.csv,0.18,0.0,0.5,0.19,0.16,0.51,0.2,0.22,0.15,0.11,0.5,0.35
sidekar.csv,0.67,0.33,0.61,0.56,0.0,0.8,0.6,0.52,0.39,0.43,0.5,0.53
