,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.98,0.52,0.4,0.5,0.41,0.42,0.42,0.49,0.62,0.31,0.66,0.07
codesmith.csv,0.64,0.54,0.47,0.61,0.71,0.43,0.62,0.66,0.74,0.45,0.41,0.98
icescrum.csv,0.73,0.5,0.4,0.46,0.52,0.47,0.52,0.39,0.55,0.0,1.0,0.17
ingex.csv,0.18,0.11,0.1,0.1,0.23,0.2,0.32,1.0,0.44,0.11,0.13,0.39
jrefactory.csv,0.43,0.56,0.98,0.52,0.47,0.43,0.5,0.61,0.23,0.27,0.58,0.31
jsecurity.csv,0.24,0.18,0.28,0.96,0.19,0.26,0.25,0.28,0.24,0.17,0.13,0.35
libopenmetaverse.csv,0.54,0.55,0.54,0.53,0.5,0.95,0.56,0.65,0.58,0.44,0.54,0.63
lite.csv,0.2,0.44,0.35,0.33,0.26,0.29,0.29,0.12,0.94,0.11,0.63,0.07
mobicents.csv,0.51,0.41,0.47,0.54,0.62,0.37,0.99,0.58,0.55,0.17,0.36,0.45
opendvr.csv,0.53,0.62,0.38,0.48,0.55,0.31,0.56,0.52,0.47,0.88,0.64,0.51
openefm.csv,0.41,0.95,0.41,0.3,0.5,0.5,0.4,0.32,0.64,0.17,0.63,0.57
sidekar.csv,0.61,0.43,0.45,0.68,0.98,0.51,0.62,0.59,0.49,0.43,0.68,0.26
