,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.47,0.49,0.6,0.65,0.31,0.54,0.36,0.72,0.27,0.47,0.43
emono.csv,0.92,0.68,0.97,0.86,0.51,0.67,0.79,0.78,0.51,0.72,0.43
haggle.csv,0.35,0.46,0.2,0.11,0.12,0.33,0.06,0.24,0.49,0.16,0.12
hannosset.csv,0.03,0.07,0.07,0.01,0.22,0.23,0.32,0.32,0.0,0.07,0.17
jas.csv,0.23,0.22,0.43,0.52,0.49,0.43,0.46,0.14,0.54,0.42,0.67
jgossipforum.csv,0.52,0.2,0.27,0.06,0.27,0.42,0.27,0.03,0.3,0.56,0.19
madman.csv,0.1,0.15,0.27,0.38,0.24,0.28,0.18,0.64,0.22,0.26,0.26
mediate.csv,0.29,0.27,0.5,0.56,0.24,0.51,0.22,0.21,0.35,0.42,0.19
ngl.csv,0.89,0.93,0.47,0.36,0.8,0.68,0.33,0.53,0.57,0.74,0.69
pustefix.csv,0.24,0.22,0.13,0.15,0.41,0.17,0.38,0.39,0.51,0.26,0.38
synecdoche.csv,0.32,0.1,0.3,0.36,0.9,0.29,0.31,0.44,0.14,0.19,0.95
