,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.22,0.57,0.54,0.2,0.75,0.5,0.52,0.38,0.7,0.52,0.52
emono.csv,0.74,0.58,0.95,1.0,0.62,1.0,0.8,0.75,0.72,0.79,0.66
haggle.csv,0.52,0.61,0.23,0.6,0.25,0.17,0.1,0.25,0.62,0.14,0.24
hannosset.csv,0.0,0.08,0.08,0.0,0.5,0.83,0.23,0.0,0.02,0.21,0.16
jas.csv,0.39,0.38,0.26,1.0,0.75,0.17,0.65,1.0,0.4,0.28,0.42
jgossipforum.csv,0.65,0.41,0.36,1.0,0.75,0.0,0.54,0.0,0.55,0.48,0.32
madman.csv,0.04,0.39,0.23,0.2,0.88,0.33,0.36,0.25,0.18,0.21,0.25
mediate.csv,0.3,0.46,0.74,0.8,0.5,0.5,0.41,0.62,0.65,0.62,0.36
ngl.csv,1.0,0.96,0.69,0.6,1.0,0.67,0.64,0.75,0.78,0.62,0.62
pustefix.csv,0.7,0.18,0.1,0.2,0.38,0.0,0.24,0.38,0.25,0.28,0.3
synecdoche.csv,0.48,0.08,0.41,0.2,1.0,0.5,0.2,0.12,0.28,0.66,0.99
