,nsis.csv,arsenal-1.csv,jbpm.csv,neodatis-odb.csv,mediate.csv,aztec.csv,mycila.csv,rodin-b-sharp.csv
arsenal-1.csv,0.0,0.0,0.32,0.16,0.13,0.08,0.19,0.12
aztec.csv,0.14,0.32,0.44,0.6,0.37,0.0,0.74,0.59
jbpm.csv,0.0,0.06,0.0,0.56,0.17,0.0,0.29,0.34
mediate.csv,0.14,0.68,0.38,0.3,0.03,0.83,0.33,0.33
mycila.csv,0.0,0.29,0.51,0.2,0.23,0.21,0.0,0.08
neodatis-odb.csv,0.0,0.06,0.38,0.01,0.63,0.42,0.21,0.48
nsis.csv,0.0,0.65,0.88,0.5,0.77,0.97,0.9,0.66
rodin-b-sharp.csv,0.14,0.0,0.08,0.01,0.4,0.57,0.1,0.01
