,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,8.0,0.0,34.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,18.0,0.0,11.0,3.0,6.0,24.0
boost-sandbox.csv,3.0,0.0,27.0,1.0,0.0,0.0,1.0,2.0,1.0,17.0,4.0,2.0,1.0,16.0,3.0,0.0,0.0,47.0,41.0
dspace-gsoc.csv,0.0,69.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,2.0,1.0,0.0,19.0,0.0,0.0,7.0,25.0,1.0
enlightenment.csv,7.0,0.0,49.0,1.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,2.0,1.0,19.0,1.0,11.0,1.0,34.0,39.0
fceugc.csv,2.0,0.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,6.0,1.0,6.0,0.0,11.0,0.0,1.0,10.0
gnukeda.csv,9.0,1.0,36.0,1.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,4.0,0.0,16.0,1.0,11.0,0.0,30.0,26.0
jaolt.csv,0.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,54.0,5.0,0.0,8.0,3.0
knowledge.csv,5.0,0.0,30.0,1.0,0.0,0.0,0.0,2.0,6.0,8.0,5.0,4.0,1.0,17.0,1.0,10.0,2.0,19.0,22.0
kowari.csv,1.0,0.0,21.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,8.0,1.0,6.0,0.0,13.0,39.0
lufa-lib.csv,18.0,1.0,41.0,3.0,0.0,2.0,1.0,0.0,0.0,14.0,5.0,1.0,0.0,8.0,1.0,3.0,1.0,50.0,37.0
maidsafe-dht.csv,1.0,0.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,82.0,0.0,0.0,1.0,8.0,17.0
pixel-commandos.csv,7.0,0.0,52.0,1.0,1.0,0.0,2.0,2.0,1.0,84.0,2.0,1.0,0.0,5.0,0.0,4.0,3.0,0.0,3.0
playerstage.csv,14.0,0.0,37.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,2.0,8.0,0.0,16.0,2.0,4.0,4.0,7.0,3.0
proftp.csv,2.0,0.0,8.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,82.0,0.0,1.0,11.0,6.0,9.0
tcvp.csv,73.0,2.0,52.0,140.0,66.0,0.0,1.0,1.0,74.0,84.0,63.0,66.0,0.0,2.0,54.0,0.0,113.0,94.0,19.0
theresa.csv,1.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,1.0,82.0,2.0,2.0,10.0,17.0,17.0
uwom.csv,4.0,0.0,52.0,0.0,0.0,1.0,0.0,1.0,2.0,23.0,3.0,1.0,0.0,18.0,1.0,2.0,113.0,10.0,4.0
xapian.csv,8.0,0.0,41.0,1.0,0.0,2.0,1.0,2.0,0.0,8.0,0.0,2.0,1.0,82.0,0.0,11.0,1.0,7.0,29.0
yaprm.csv,4.0,69.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,4.0,0.0,0.0,82.0,54.0,293.0,6.0,0.0,5.0
