,d2h
rectracker.csv,0.68
dynalloy.csv,0.83
mpqc.csv,0.8
thout.csv,0.65
benojt.csv,1.02
sabbu.csv,0.57
unladen-swallow.csv,0.46
powerfolder-.csv,0.51
barracudamvc.csv,0.84
nutz.csv,0.81
apolloplayer.csv,0.59
vxl.csv,0.85
fbmanager.csv,0.77
olsrd.csv,0.78
jajuk.csv,0.53
sqlpower-library.csv,0.76
heekscad.csv,0.69
zorannt.csv,0.63
emftriple.csv,1.0
gamestone.csv,0.8
jicarilla.csv,1.01
sevenupdate.csv,0.69
nuttx.csv,0.86
psrchive.csv,0.61
jvcl.csv,0.65
kdenlive.csv,0.6
hatari.csv,0.5
maidsafe-dht.csv,0.67
opde.csv,0.75
brlcad.csv,0.78
opentibia.csv,0.69
plee-the-bear.csv,0.41
xcsoar.csv,0.54
vapor.csv,0.51
reaper-ecad.csv,0.37
jmri.csv,0.78
igarden.csv,0.66
mb-unit.csv,0.73
kaffeine.csv,0.82
ossim.csv,0.59
jlinalg.csv,0.82
megasquirtavr.csv,0.68
psycle.csv,0.73
beast-mcmc.csv,0.55
ikvm.csv,0.66
bscwweasel.csv,0.64
zact.csv,1.02
zscreen.csv,0.96
sarasvati.csv,0.91
flylegacy.csv,0.66
nullc.csv,0.7
dvt.csv,0.79
retromenu.csv,0.41
jatlas.csv,1.0
liferea.csv,0.6
array4j.csv,0.82
go.csv,0.68
zealos.csv,0.74
ns-3.csv,0.86
nug.csv,0.52
critterding.csv,0.76
gotjava.csv,1.01
optalgtoolkit.csv,0.84
kwave.csv,0.94
superwaba.csv,0.66
ltp.csv,0.78
pdfedit.csv,0.72
blogentis.csv,0.75
mclient-mume.csv,0.87
firebird.csv,0.62
