,f1
rectracker.csv,0.49
dynalloy.csv,0.27
mpqc.csv,0.18
thout.csv,0.42
benojt.csv,0.37
sabbu.csv,0.57
unladen-swallow.csv,0.33
powerfolder-.csv,0.53
barracudamvc.csv,0.46
nutz.csv,0.27
apolloplayer.csv,0.41
vxl.csv,0.2
fbmanager.csv,0.36
olsrd.csv,0.36
jajuk.csv,0.61
sqlpower-library.csv,0.38
heekscad.csv,0.47
zorannt.csv,0.34
emftriple.csv,0.0
gamestone.csv,0.17
jicarilla.csv,0.0
sevenupdate.csv,0.47
nuttx.csv,0.28
psrchive.csv,0.34
jvcl.csv,0.25
kdenlive.csv,0.56
hatari.csv,0.61
maidsafe-dht.csv,0.32
opde.csv,0.33
brlcad.csv,0.27
opentibia.csv,0.48
plee-the-bear.csv,0.21
xcsoar.csv,0.57
vapor.csv,0.49
reaper-ecad.csv,0.41
jmri.csv,0.33
igarden.csv,0.43
mb-unit.csv,0.44
kaffeine.csv,0.31
ossim.csv,0.2
jlinalg.csv,0.3
megasquirtavr.csv,0.31
psycle.csv,0.42
beast-mcmc.csv,0.54
ikvm.csv,0.46
bscwweasel.csv,0.26
zact.csv,0.0
zscreen.csv,0.08
sarasvati.csv,0.08
flylegacy.csv,0.5
nullc.csv,0.47
dvt.csv,0.27
retromenu.csv,0.61
jatlas.csv,0.0
liferea.csv,0.39
array4j.csv,0.22
go.csv,0.47
zealos.csv,0.35
ns-3.csv,0.25
nug.csv,0.53
critterding.csv,0.38
gotjava.csv,0.0
optalgtoolkit.csv,0.25
kwave.csv,0.1
superwaba.csv,0.58
ltp.csv,0.38
pdfedit.csv,0.41
blogentis.csv,0.35
mclient-mume.csv,0.23
firebird.csv,0.51
