,pf
rectracker.csv,0.22
dynalloy.csv,0.05
mpqc.csv,0.47
thout.csv,0.11
benojt.csv,0.67
sabbu.csv,0.19
unladen-swallow.csv,0.32
powerfolder-.csv,0.18
barracudamvc.csv,0.5
nutz.csv,0.08
apolloplayer.csv,0.24
vxl.csv,0.16
fbmanager.csv,0.06
olsrd.csv,0.05
jajuk.csv,0.07
sqlpower-library.csv,0.06
heekscad.csv,0.04
zorannt.csv,0.15
emftriple.csv,0.04
gamestone.csv,0.27
jicarilla.csv,0.14
sevenupdate.csv,0.0
nuttx.csv,0.23
psrchive.csv,0.2
jvcl.csv,0.18
kdenlive.csv,0.15
hatari.csv,0.28
maidsafe-dht.csv,0.2
opde.csv,0.22
brlcad.csv,0.17
opentibia.csv,0.17
plee-the-bear.csv,0.34
xcsoar.csv,0.15
vapor.csv,0.25
reaper-ecad.csv,0.35
jmri.csv,0.14
igarden.csv,0.12
mb-unit.csv,0.16
kaffeine.csv,0.0
ossim.csv,0.18
jlinalg.csv,0.07
megasquirtavr.csv,0.32
psycle.csv,0.05
beast-mcmc.csv,0.09
ikvm.csv,0.17
bscwweasel.csv,0.23
zact.csv,0.22
zscreen.csv,0.0
sarasvati.csv,0.08
flylegacy.csv,0.14
nullc.csv,0.18
dvt.csv,0.29
retromenu.csv,0.29
jatlas.csv,0.03
liferea.csv,0.45
array4j.csv,0.13
go.csv,0.04
zealos.csv,0.12
ns-3.csv,0.12
nug.csv,0.22
critterding.csv,0.0
gotjava.csv,0.15
optalgtoolkit.csv,0.29
kwave.csv,0.05
superwaba.csv,0.65
ltp.csv,0.23
pdfedit.csv,0.16
blogentis.csv,0.62
mclient-mume.csv,0.04
firebird.csv,0.2
