,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.75,0.77,0.87,0.78,0.03,0.74,1.03
encog-java.csv,0.09,0.91,0.73,0.95,0.88,0.71,0.9
h2database.csv,0.48,0.17,0.86,0.84,0.97,0.69,0.79
haphazard.csv,0.96,0.94,0.86,0.93,0.89,0.08,0.86
jaql.csv,0.56,0.62,0.56,0.03,0.62,0.65,0.75
raven-monitoring.csv,0.66,0.61,0.09,0.56,0.8,0.64,0.6
v8.csv,0.59,0.57,0.61,0.51,0.99,0.74,0.0
