,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.31,0.42,0.14,0.21,0.11,0.05,0.06,0.23,0.25,0.13,0.28
etherboot.csv,1.0,0.0,0.83,0.33,0.0,0.5,0.0,0.16,0.0,0.0,0.0
ffigo.csv,0.01,0.15,0.2,0.61,0.06,0.0,0.28,0.45,0.32,0.19,0.03
gebr.csv,0.7,0.86,0.97,0.72,0.62,0.16,0.89,0.94,0.95,0.96,0.9
gpac.csv,0.96,0.93,0.72,0.95,0.32,0.39,0.56,0.88,1.0,0.03,0.72
libtorrent.csv,1.0,0.79,0.43,0.92,0.74,0.55,0.33,0.67,0.61,0.92,0.79
miranda.csv,0.03,0.01,0.36,0.48,0.11,0.0,0.56,0.09,1.0,0.15,0.4
modellus.csv,0.25,0.17,0.41,0.64,0.26,0.08,0.06,0.2,0.16,0.96,0.82
mplayer-ce.csv,0.27,0.66,0.45,0.93,0.64,0.08,0.56,0.78,0.45,0.36,0.43
nicepress.csv,0.9,0.37,0.25,0.85,0.96,0.71,0.22,0.41,0.86,0.98,0.9
vapor.csv,0.0,0.25,0.16,0.56,0.47,0.21,0.11,0.26,0.0,0.91,0.9
