,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.21,0.36,0.2,0.21,0.31,0.25,0.47,0.41,0.4,0.35,0.42
etherboot.csv,0.13,0.0,0.5,0.42,0.0,0.77,0.08,0.65,0.0,0.0,0.0
ffigo.csv,0.0,0.29,0.21,0.38,0.0,0.1,0.53,0.5,0.81,0.45,0.08
gebr.csv,0.14,0.44,0.52,0.41,0.72,0.78,0.86,0.66,0.72,0.62,0.8
gpac.csv,0.14,0.4,0.55,0.4,0.71,0.74,0.75,0.68,0.78,0.05,0.68
libtorrent.csv,0.13,0.44,0.57,0.39,0.71,0.8,0.85,0.68,0.68,0.61,0.73
miranda.csv,0.0,0.0,0.39,0.41,0.23,0.0,0.82,0.17,0.78,0.28,0.77
modellus.csv,0.09,0.39,0.53,0.39,0.67,0.65,0.58,0.78,0.58,0.62,0.8
mplayer-ce.csv,0.16,0.45,0.56,0.39,0.59,0.62,0.82,0.69,0.69,0.55,0.68
nicepress.csv,0.14,0.48,0.74,0.37,0.67,0.76,0.64,0.55,0.72,0.61,0.78
vapor.csv,0.0,0.54,0.29,0.47,0.56,0.65,0.52,0.47,0.17,0.6,0.75
