,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.6,0.48,0.14,0.18,0.2,0.14,0.31,0.31,0.29,0.25,0.3
etherboot.csv,1.0,0.0,0.86,0.5,0.0,0.76,0.04,0.56,0.0,0.0,0.0
ffigo.csv,0.0,0.24,0.17,0.64,0.0,0.05,0.38,0.49,0.8,0.36,0.04
gebr.csv,0.8,0.96,1.0,0.77,0.86,0.67,0.89,0.97,0.88,0.97,0.98
gpac.csv,1.0,0.92,0.92,0.91,0.7,0.68,0.66,0.98,1.0,0.03,0.71
libtorrent.csv,1.0,0.92,0.72,0.86,0.89,0.81,0.78,0.86,0.7,0.92,0.82
miranda.csv,0.0,0.0,0.42,0.59,0.14,0.0,0.76,0.1,1.0,0.19,0.75
modellus.csv,0.2,0.36,0.64,0.68,0.61,0.5,0.41,0.77,0.45,0.96,0.95
mplayer-ce.csv,0.4,0.84,0.72,0.86,0.64,0.46,0.77,0.93,0.67,0.54,0.64
nicepress.csv,1.0,0.64,0.86,0.77,0.91,0.79,0.48,0.53,0.84,0.97,0.93
vapor.csv,0.0,0.64,0.22,0.77,0.54,0.52,0.36,0.38,0.09,0.9,0.88
