,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.12,0.29,0.33,0.24,0.69,0.88,0.97,0.57,0.67,0.61,0.68
etherboot.csv,0.07,0.0,0.35,0.35,0.0,0.8,1.0,0.77,0.0,0.0,0.0
ffigo.csv,0.0,0.35,0.3,0.27,0.0,1.0,0.88,0.52,0.81,0.61,0.69
gebr.csv,0.08,0.28,0.35,0.28,0.62,0.92,0.84,0.51,0.61,0.46,0.68
gpac.csv,0.07,0.26,0.4,0.26,0.72,0.82,0.86,0.52,0.63,0.42,0.66
libtorrent.csv,0.07,0.29,0.46,0.25,0.59,0.79,0.93,0.56,0.66,0.45,0.67
miranda.csv,0.0,0.0,0.38,0.31,0.62,0.0,0.88,0.53,0.63,0.52,0.78
modellus.csv,0.06,0.43,0.45,0.28,0.74,0.94,0.98,0.8,0.83,0.45,0.69
mplayer-ce.csv,0.1,0.31,0.46,0.25,0.55,0.94,0.88,0.54,0.72,0.55,0.74
nicepress.csv,0.08,0.38,0.65,0.25,0.53,0.74,0.92,0.57,0.63,0.45,0.67
vapor.csv,0.0,0.47,0.42,0.33,0.58,0.86,0.95,0.6,1.0,0.45,0.66
