,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.15,0.57,0.45,0.45,0.76,0.5,0.68,0.64,0.91,0.73,0.9,0.59,0.87
bscwweasel.csv,0.03,0.07,0.45,0.7,0.57,0.5,0.5,0.62,0.39,0.4,0.29,0.35,0.6
capcode.csv,0.01,0.93,0.82,0.9,0.24,0.67,0.36,0.27,0.57,0.63,0.35,0.35,0.47
emite.csv,0.94,0.29,0.48,0.25,0.81,0.33,0.2,0.25,0.17,0.32,0.74,0.51,0.23
geogebra.csv,0.04,0.93,0.39,0.45,0.95,0.58,0.97,0.53,0.83,0.57,0.13,0.6,0.59
hibernate.csv,0.8,0.21,0.77,1.0,0.9,0.83,0.33,0.33,0.57,0.53,0.29,0.55,0.73
lamp.csv,0.35,0.64,0.3,0.6,0.95,0.67,1.0,0.55,0.7,0.63,0.19,0.85,0.72
nodal.csv,0.02,0.14,0.41,0.55,0.52,0.58,0.02,0.13,0.57,0.34,0.19,0.4,0.44
retromenu.csv,0.02,0.43,0.27,0.3,0.86,0.17,0.6,0.15,0.39,0.11,0.23,0.58,0.32
smbopensoft.csv,0.8,1.0,0.84,0.8,0.9,0.58,0.73,0.35,0.78,0.72,0.84,0.67,0.66
stuproa-cims.csv,0.0,0.07,0.34,0.3,0.67,0.0,0.02,0.6,0.3,0.16,0.23,0.44,0.79
thout.csv,0.51,0.86,0.57,0.4,0.76,1.0,1.0,0.8,1.0,0.75,0.87,0.89,0.58
uface.csv,1.0,1.0,0.91,0.85,1.0,0.75,0.93,0.67,0.52,0.71,0.68,0.92,0.96
