,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.74,0.43,0.27,0.26,0.66,0.33,0.06,0.18,0.77,0.13
chaosrts.csv,0.73,0.67,0.29,0.27,0.59,0.5,0.38,0.08,0.76,0.83
lazarus-ccr.csv,0.64,0.8,0.29,0.17,0.57,0.56,0.32,0.36,0.7,0.87
linuxsh.csv,0.71,0.48,0.51,0.24,0.66,0.37,0.0,0.0,0.29,0.17
migen.csv,0.7,0.45,0.31,0.38,0.62,0.66,0.0,0.09,0.36,0.76
moviesandbox.csv,0.78,0.39,0.43,0.29,0.74,0.52,0.08,0.09,0.21,0.68
sauerbraten.csv,0.82,0.67,0.29,0.24,0.75,0.53,0.4,0.41,0.7,0.92
scite-ru.csv,0.79,0.63,0.35,0.23,0.73,0.61,0.4,0.36,0.52,0.93
vrjuggler.csv,0.22,0.47,0.0,0.0,0.32,0.09,0.19,0.38,0.13,0.62
xuggle.csv,0.75,0.61,0.31,0.44,0.67,0.54,0.48,0.13,0.62,0.62
