,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.92,0.79,0.79,0.56,0.8,0.85,0.97,0.85,0.43,0.93
chaosrts.csv,0.73,0.43,1.0,0.54,0.56,0.62,0.69,0.95,1.0,0.32
lazarus-ccr.csv,0.88,0.27,1.0,0.95,0.79,0.71,0.76,0.77,0.96,0.8
linuxsh.csv,0.67,0.76,0.33,0.81,0.66,0.74,1.0,1.0,0.83,0.91
migen.csv,0.61,0.74,0.61,0.47,0.54,0.46,1.0,0.94,0.8,0.72
moviesandbox.csv,0.56,0.78,0.56,0.57,0.46,0.6,0.96,0.94,0.9,0.62
sauerbraten.csv,0.37,0.72,0.98,0.67,0.77,0.88,0.88,0.62,0.84,0.95
scite-ru.csv,0.75,0.93,0.56,0.72,0.75,0.76,0.65,0.71,0.76,1.0
vrjuggler.csv,0.87,0.73,1.0,1.0,0.8,0.96,0.87,0.59,0.93,0.64
xuggle.csv,0.45,0.61,0.66,0.33,0.61,0.59,0.54,0.92,0.68,0.71
