,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.92,0.46,0.73,0.57,0.8,0.32,0.05,0.25,0.76,0.07
chaosrts.csv,0.82,0.62,1.0,0.76,0.5,0.47,0.52,0.06,1.0,0.73
lazarus-ccr.csv,0.72,0.83,1.0,0.76,0.61,0.71,0.43,0.81,0.86,0.86
linuxsh.csv,0.77,0.54,0.82,0.2,0.73,0.29,0.0,0.0,0.19,0.09
migen.csv,0.72,0.46,0.55,0.57,0.55,0.71,0.0,0.06,0.26,0.66
moviesandbox.csv,0.85,0.38,0.45,0.48,0.77,0.44,0.05,0.06,0.14,0.54
sauerbraten.csv,0.85,0.92,1.0,0.85,0.98,0.74,0.76,0.81,0.82,0.97
scite-ru.csv,0.95,0.96,0.73,0.87,0.91,0.85,0.38,0.75,0.47,0.99
vrjuggler.csv,0.13,0.5,0.0,0.0,0.2,0.06,0.14,0.56,0.07,0.47
xuggle.csv,0.74,0.71,0.73,0.74,0.73,0.53,0.62,0.19,0.61,0.47
