,kvs.csv,phet.csv,jasperreports.csv,fido.csv,hibernate.csv,geogebra.csv,fluent-nhibernate.csv
fido.csv,0.0,0.0,0.0,0.75,0.5,0.0,0.0
fluent-nhibernate.csv,0.0,0.92,0.95,0.0,0.98,0.95,0.94
geogebra.csv,0.67,0.72,0.67,0.43,0.55,0.78,0.84
hibernate.csv,0.76,0.62,0.54,0.59,0.73,0.61,0.66
jasperreports.csv,0.0,0.0,0.96,0.0,0.9,0.86,0.5
kvs.csv,0.89,0.84,0.65,0.92,0.71,0.55,0.68
phet.csv,0.88,0.98,0.97,0.64,0.99,0.99,0.97
