,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.87,1.0,0.74,0.33,0.97,1.0,0.46,0.97,0.85,0.86,0.99,0.79,0.73,1.0,0.6
aufs.csv,0.25,0.5,0.06,0.94,0.59,0.59,0.68,0.57,0.25,0.31,0.69,0.53,0.19,0.37,0.14
bulmages.csv,0.0,0.27,0.09,0.78,0.39,0.1,0.07,0.07,0.0,0.38,0.24,0.0,0.35,0.16,0.0
coot.csv,0.03,0.19,0.62,0.94,0.85,0.6,0.68,0.65,0.25,0.4,0.72,0.67,0.32,0.47,0.38
emono.csv,0.45,0.95,0.4,0.72,0.72,0.95,0.86,0.66,0.91,0.82,0.91,0.86,0.68,0.79,0.48
extprosys.csv,0.96,0.35,1.0,0.28,0.8,0.68,0.57,0.52,0.0,0.41,0.8,0.58,0.54,0.63,0.4
freelords.csv,0.45,0.25,0.91,0.83,0.77,0.75,0.36,0.88,0.42,0.44,0.47,0.51,0.59,0.68,0.83
jnode.csv,0.34,0.16,0.08,0.33,0.0,0.18,0.14,0.19,0.12,0.19,0.0,0.0,0.38,0.05,0.0
jruby.csv,0.56,0.04,0.81,1.0,0.88,0.87,0.11,0.27,1.0,0.9,0.56,0.88,0.0,0.47,0.05
jsecurity.csv,0.03,0.16,0.15,0.11,0.24,0.59,0.18,0.21,0.35,0.11,0.27,0.19,0.41,0.63,0.31
matrex.csv,0.37,0.02,0.09,0.44,0.06,0.31,0.0,0.08,0.0,0.0,0.15,0.21,0.08,0.05,0.07
officefloor.csv,0.32,0.3,0.38,0.0,0.03,0.3,0.07,0.29,0.29,0.32,0.23,0.37,0.3,0.47,0.17
projectfactory.csv,0.45,0.21,0.51,0.11,0.21,0.61,0.43,0.41,0.39,0.45,0.68,0.37,0.65,0.63,0.31
taverna.csv,0.21,0.04,0.19,0.11,0.09,0.05,0.14,0.03,0.0,0.04,0.01,0.37,0.22,0.11,0.26
vxl.csv,0.28,0.84,0.28,0.06,0.25,0.35,0.32,0.36,0.78,0.57,0.85,0.53,0.38,0.68,0.36
