,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.47,0.62,0.52,0.43,0.34,0.49,0.48,0.42,0.42,0.5,0.44,0.42,0.56,0.44
crisscross.csv,0.49,0.42,0.55,0.44,0.38,0.48,0.35,0.4,0.36,0.52,0.61,0.34,0.49,0.34
gisgraphy.csv,0.99,0.65,0.93,0.89,0.89,0.67,0.91,0.7,0.86,0.92,0.83,0.55,0.96,0.64
glelite.csv,0.49,0.54,0.43,0.4,0.38,0.42,0.34,0.39,0.33,0.52,0.5,0.44,0.47,0.32
gnome-jabber.csv,0.66,0.93,0.93,0.56,0.38,0.51,0.34,0.58,0.6,0.48,0.63,0.7,0.59,0.46
ivataopenportal.csv,0.46,0.42,0.47,0.41,0.32,0.54,0.48,0.39,0.35,0.47,0.48,0.34,0.41,0.31
mb-unit.csv,0.49,0.83,0.46,0.46,0.38,0.43,0.35,0.4,0.33,0.54,0.5,0.44,0.48,0.32
mvdsv.csv,0.93,0.65,0.0,0.98,0.88,0.5,0.75,0.92,0.86,0.75,0.9,0.83,0.94,0.86
nova.csv,0.59,0.58,0.56,0.49,0.46,0.63,0.39,0.45,0.63,0.4,0.61,0.4,0.58,0.4
olex2.csv,0.55,0.48,0.62,0.51,0.42,0.44,0.71,0.73,0.45,0.48,0.51,0.48,0.97,0.48
openwbem.csv,0.47,0.56,0.55,0.6,0.42,0.54,0.39,0.51,0.56,0.32,0.51,0.42,0.79,0.38
tencompetence.csv,0.99,0.88,0.8,0.68,0.95,0.56,0.7,0.95,0.6,0.98,0.81,0.8,0.68,0.77
xcmetadataservicestoolkit.csv,0.78,0.52,0.63,0.64,0.41,0.47,0.36,0.59,0.39,0.54,0.51,0.47,0.6,0.4
