,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,3.0,5.0,0.0,2.0,69.0,3.0,0.0,16.0,63.0,0.0,1.0,1.0,0.0,0.0,0.0
atlc.csv,3.0,1.0,2.0,5.0,0.0,32.0,6.0,11.0,1.0,2.0,7.0,6.0,0.0,5.0,2.0
ipfilter.csv,1.0,4.0,4.0,6.0,0.0,43.0,0.0,12.0,1.0,0.0,3.0,4.0,0.0,11.0,0.0
liferea.csv,3.0,3.0,3.0,0.0,0.0,4.0,3.0,4.0,63.0,5.0,10.0,9.0,0.0,4.0,1.0
miranda-icq.csv,66.0,0.0,3.0,0.0,0.0,5.0,0.0,12.0,3.0,0.0,33.0,0.0,0.0,3.0,0.0
opensim4opencog.csv,11.0,0.0,5.0,0.0,0.0,22.0,0.0,0.0,63.0,1.0,7.0,1.0,0.0,4.0,0.0
pclasses.csv,0.0,2.0,88.0,56.0,69.0,52.0,88.0,187.0,63.0,74.0,177.0,201.0,0.0,2.0,64.0
pfaedit.csv,2.0,6.0,14.0,4.0,1.0,14.0,0.0,8.0,63.0,1.0,3.0,3.0,0.0,2.0,0.0
psrchive.csv,4.0,1.0,0.0,2.0,0.0,15.0,88.0,8.0,63.0,3.0,5.0,1.0,0.0,15.0,1.0
theresa.csv,66.0,0.0,88.0,56.0,69.0,0.0,88.0,187.0,63.0,74.0,177.0,201.0,196.0,161.0,64.0
thrust.csv,66.0,6.0,10.0,9.0,0.0,18.0,0.0,31.0,0.0,0.0,33.0,3.0,0.0,4.0,0.0
tktoolkit.csv,9.0,5.0,2.0,56.0,0.0,52.0,9.0,187.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0
tzod.csv,0.0,0.0,14.0,4.0,1.0,17.0,0.0,3.0,63.0,1.0,13.0,1.0,0.0,5.0,0.0
yaprm.csv,1.0,2.0,11.0,4.0,0.0,15.0,8.0,7.0,5.0,0.0,1.0,1.0,0.0,11.0,0.0
