,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.33,0.42,0.33,0.35,0.39,0.4,0.36,0.35,0.45,0.45
chrysalis.csv,0.94,0.5,0.9,0.58,0.94,0.94,0.91,0.86,0.93,0.88
jahshaka.csv,0.68,0.82,0.68,0.39,0.88,0.67,0.47,0.75,0.51,0.75
jam-daq.csv,0.57,0.69,0.58,0.38,0.73,0.47,0.51,0.64,0.47,0.9
jatlas.csv,0.76,0.5,0.93,0.9,0.8,0.67,0.83,0.5,0.75,0.0
jedit.csv,0.47,0.54,0.43,0.35,0.48,0.59,0.37,0.34,0.66,0.47
mscore.csv,0.56,0.52,0.55,0.36,0.44,0.48,0.56,0.64,0.47,0.76
open-media-library.csv,0.57,0.67,0.51,0.72,0.79,0.42,0.65,0.56,0.44,0.9
panda3d.csv,0.66,0.92,0.91,0.75,0.72,0.68,0.88,0.62,0.78,0.87
wheat.csv,0.94,0.71,0.72,0.8,0.92,0.69,0.95,0.48,0.55,0.92
