,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.98,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.25,0.0,0.1,0.34,0.0,0.1,0.18,0.14,0.1,0.93
jahshaka.csv,0.36,0.91,0.28,0.62,0.2,0.31,0.6,0.11,0.35,0.07
jam-daq.csv,0.46,0.36,0.42,0.57,1.0,0.52,0.98,0.32,0.4,0.33
jatlas.csv,0.2,0.09,0.2,0.11,1.0,0.02,0.09,0.07,0.02,0.0
jedit.csv,0.97,0.55,0.42,0.68,0.8,0.46,0.6,0.64,0.35,0.67
mscore.csv,0.46,0.64,0.45,0.64,0.8,0.98,0.49,0.32,0.33,0.33
open-media-library.csv,0.43,0.36,0.98,0.25,0.4,0.52,0.42,0.36,0.44,0.19
panda3d.csv,0.34,0.09,0.28,0.04,0.0,0.42,0.09,0.54,0.94,0.19
wheat.csv,0.1,0.45,0.35,0.05,0.4,0.33,0.11,0.96,0.4,0.04
