,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
57,2,2,1,2,1,1,0,1,logicmail.csv
52,3,2,4,6,2,5,6,8,chrysalis.csv
50,4,0,2,7,1,3,8,11,beast-mcmc.csv
58,5,1,1,1,1,2,2,1,matrex.csv
24,6,6,6,11,3,0,8,12,freelords.csv
19,7,5,4,7,5,6,8,11,synecdoche.csv
28,8,4,5,9,2,3,12,11,joustsim.csv
17,9,4,1,4,4,1,7,7,gephex.csv
18,11,0,1,1,0,1,1,0,atunes.csv
53,12,1,2,4,1,2,3,3,gpsmid.csv
59,14,1,1,2,3,3,5,4,amanda.csv
51,15,2,1,3,2,1,2,2,unflobtactical.csv
21,16,0,1,2,0,1,3,2,tradelink.csv
26,17,3,3,4,3,3,5,5,playerstage.csv
16,18,4,3,10,4,5,12,13,empserver.csv
27,19,3,2,3,2,2,4,3,multitude.csv
15,20,1,5,6,4,5,7,11,yafdotnet.csv
29,21,3,3,4,4,6,9,9,ng4j.csv
60,22,2,3,6,4,5,10,11,les-indemodables.csv
49,23,5,5,16,5,2,7,18,baadengine.csv
25,28,0,2,2,1,4,5,4,h2database.csv
20,29,3,2,4,3,4,7,9,geogebra.csv
39,30,2,2,2,1,3,3,2,exordium.csv
34,31,4,5,8,4,3,9,15,kdenlive.csv
6,32,8,5,12,9,8,6,17,botsnscouts.csv
14,33,1,4,5,3,4,7,8,unbvision.csv
7,35,3,2,4,4,6,11,12,igarden.csv
33,36,5,2,6,6,3,5,9,lphant.csv
40,37,2,4,2,5,10,12,12,ktc.csv
32,38,3,7,6,8,16,17,19,ardour.csv
41,39,6,5,6,6,8,9,10,olap-navigator.csv
55,40,3,5,7,3,2,9,11,apolloplayer.csv
46,41,3,6,7,1,1,10,9,jmule.csv
22,42,2,2,2,2,4,7,7,adaptagrams.csv
31,43,5,3,4,5,10,13,12,etics.csv
30,44,3,4,5,2,3,5,6,img-browse-sort.csv
23,45,1,3,6,4,5,8,13,n2cms.csv
45,46,3,2,6,3,4,6,9,go.csv
56,47,2,4,4,1,5,5,7,acdk.csv
47,48,0,1,1,2,5,6,5,zoolib.csv
54,49,1,3,2,3,6,5,6,kindb.csv
3,50,4,7,7,4,7,10,14,applet2app.csv
10,51,9,8,12,9,5,14,18,reactos-mirror.csv
38,53,1,1,1,1,1,1,0,xcf.csv
37,54,2,2,8,1,2,8,8,hatari.csv
42,55,4,5,6,6,9,9,13,moving-pictures.csv
9,56,1,1,2,1,1,2,2,x4x.csv
5,57,0,7,9,2,9,9,18,irplus.csv
11,58,2,3,5,2,0,10,10,optalgtoolkit.csv
1,59,0,1,1,0,2,2,1,jrdf.csv
13,60,4,4,10,6,2,20,17,encog-cs.csv
0,61,2,2,5,2,1,4,9,xuggle.csv
36,62,1,1,1,0,1,1,0,silvertree.csv
43,63,2,4,5,4,12,19,19,psrchive.csv
44,64,4,5,8,3,3,5,9,twostep.csv
35,65,4,3,5,4,1,6,6,mb-unit.csv
2,66,3,3,4,5,10,14,13,fltk.csv
12,67,1,1,2,5,5,10,10,cascading.csv
4,68,6,3,7,9,9,17,19,zildo.csv
8,69,5,4,6,7,7,12,13,olex2.csv
48,70,2,3,3,1,3,6,5,l2j.csv
