,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.52,0.72,0.25,0.55,0.8,0.62,0.5,0.74
etics.csv,0.62,0.58,0.23,0.55,0.7,0.39,0.46,0.73
genecys.csv,0.31,0.76,0.32,0.51,0.84,0.52,0.41,0.73
kvs.csv,0.45,0.25,0.6,0.34,0.06,0.43,0.33,0.51
mcore3d.csv,0.25,0.74,0.36,0.51,0.9,0.18,0.54,0.73
miranda.csv,0.4,0.36,0.27,0.54,0.8,0.54,0.56,0.78
ogrehg.csv,0.45,0.69,0.19,0.63,0.87,0.48,0.49,0.76
passwordsafe.csv,0.43,0.73,0.22,0.61,0.89,0.58,0.67,0.75
