,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,1.0,0.6,0.48,0.45,0.29
aime.csv,0.08,0.76,0.25,0.17,0.64
badtrinitycore.csv,0.15,0.38,0.15,0.89,0.21
electric-core.csv,0.54,0.1,0.92,0.47,0.5
olsrd.csv,1.0,0.97,0.88,0.81,0.93
