,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.56,0.78,0.96,0.41,0.5,0.63,0.53,0.51,0.61
ctrlr.csv,0.87,0.96,1.0,0.82,0.29,0.93,0.7,0.73,0.69
customsagetv.csv,0.53,0.59,0.16,0.63,0.94,0.7,0.92,0.7,0.81
glas.csv,0.5,0.83,0.97,0.71,0.64,0.54,0.46,0.52,0.77
octave.csv,0.44,0.9,0.6,0.72,1.0,0.78,0.72,0.71,0.79
tango-cs.csv,0.59,0.92,1.0,0.6,0.64,0.53,0.75,0.63,0.54
xcf.csv,0.59,0.72,0.36,0.77,0.57,0.69,0.86,0.35,0.75
xfce.csv,0.65,0.65,0.68,0.63,0.89,0.49,0.79,0.57,0.71
zildo.csv,0.61,0.39,0.32,0.58,0.89,0.55,0.92,0.7,0.72
