,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.33,0.05,0.09,0.77,0.61,0.32,0.31,0.19
atlc.csv,0.99,0.09,0.44,0.57,0.71,0.58,0.68,0.59,0.59,0.54
ipfilter.csv,0.4,0.24,0.24,0.31,0.54,0.61,0.72,0.99,0.51,0.68
jmol.csv,0.13,0.67,0.66,1.0,0.5,0.7,0.78,0.62,0.48,0.36
pfaedit.csv,0.18,0.37,0.95,0.49,0.67,0.51,0.6,0.2,0.5,0.25
rockbox.csv,0.34,0.0,0.43,0.39,0.45,0.31,0.58,0.38,0.35,1.0
snakeyaml.csv,0.25,0.52,0.44,0.51,0.91,0.39,0.49,0.35,0.54,0.4
theresa.csv,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.18,0.0,0.38,0.6,0.32,0.31,0.17,0.2,0.93,0.13
wxcode.csv,0.06,0.71,0.38,0.06,0.09,0.2,1.0,0.2,0.21,0.0
