,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.94,1.0,0.18,0.92,0.33,0.81,0.48,0.6
atlc.csv,0.98,0.06,0.63,0.83,0.23,0.22,0.11,0.74,0.26,0.36
ipfilter.csv,0.48,0.06,0.61,0.8,0.13,0.21,0.12,0.98,0.27,0.45
jmol.csv,0.58,0.11,0.68,1.0,0.16,0.27,0.15,0.76,0.22,0.35
pfaedit.csv,1.0,0.07,1.0,0.87,0.23,0.33,0.21,0.89,0.32,0.8
rockbox.csv,0.8,0.0,0.75,0.78,0.16,0.18,0.12,0.61,0.25,1.0
snakeyaml.csv,0.52,0.07,0.53,0.84,1.0,0.14,0.1,0.67,0.24,0.31
theresa.csv,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,1.0,0.0,0.82,0.84,0.07,0.3,0.17,0.89,1.0,0.4
wxcode.csv,1.0,0.33,0.75,0.83,0.67,0.36,1.0,1.0,0.43,0.0
