,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,1.0,1.0,0.72,0.96,0.93,0.27,0.44,0.73,0.73,0.84
atlc.csv,0.03,0.98,0.86,0.76,0.46,0.78,0.65,0.75,0.71,0.75
ipfilter.csv,0.93,0.94,0.94,0.93,0.77,0.72,0.66,0.05,0.82,0.6
jmol.csv,0.97,0.46,0.69,0.0,0.65,0.53,0.46,0.62,0.75,0.77
pfaedit.csv,0.85,0.72,0.06,0.62,0.48,0.58,0.47,0.83,0.62,0.79
rockbox.csv,0.71,1.04,0.64,0.78,0.68,0.79,0.58,0.86,0.75,0.0
snakeyaml.csv,0.98,0.82,0.88,0.65,0.11,0.83,0.84,0.93,0.77,0.92
theresa.csv,1.0,0.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0
trinitycore.csv,0.85,1.0,0.68,0.68,0.9,0.75,0.86,0.83,0.09,0.9
wxcode.csv,0.95,0.34,0.69,0.95,0.93,0.84,0.0,0.83,0.82,1.0
