,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.08,0.03,0.0,0.05,0.02,0.11,0.16,0.09,0.06
atlc.csv,0.03,0.98,0.86,0.74,0.38,0.78,0.63,0.74,0.65,0.66
ipfilter.csv,0.79,0.94,0.94,0.91,0.72,0.7,0.66,0.05,0.82,0.56
jmol.csv,0.97,0.32,0.69,0.0,0.39,0.48,0.43,0.53,0.55,0.34
pfaedit.csv,0.0,0.26,0.0,0.3,0.34,0.22,0.2,0.05,0.33,0.03
rockbox.csv,0.1,0.28,0.2,0.43,0.32,0.28,0.39,0.58,0.3,0.0
snakeyaml.csv,0.93,0.82,0.74,0.39,0.0,0.53,0.84,0.89,0.72,0.84
theresa.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.0,0.1,0.11,0.61,0.56,0.14,0.07,0.05,0.0,0.09
wxcode.csv,0.0,0.08,0.17,0.04,0.01,0.07,0.0,0.0,0.08,0.0
