,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.28,0.04,0.07,0.73,0.57,0.28,0.27,0.16
atlc.csv,1.0,1.0,0.96,0.82,0.74,0.97,0.86,0.87,0.71,0.63
ipfilter.csv,0.51,1.0,0.94,0.81,0.7,0.83,1.0,1.0,0.93,0.79
jmol.csv,0.95,0.67,0.93,1.0,0.48,0.77,0.86,0.67,0.49,0.32
pfaedit.csv,0.15,0.33,0.94,0.46,0.67,0.47,0.57,0.17,0.47,0.21
rockbox.csv,0.29,0.0,0.39,0.36,0.41,0.27,0.57,0.37,0.31,1.0
snakeyaml.csv,0.71,1.0,0.54,0.49,0.89,0.37,1.0,0.76,0.71,0.63
theresa.csv,0.0,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.15,0.0,0.33,0.7,0.3,0.27,0.14,0.17,0.91,0.11
wxcode.csv,0.05,0.67,0.33,0.05,0.07,0.17,1.0,0.17,0.18,0.0
