,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,69.0,52.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
atlc.csv,0.0,48.0,1.0,1.0,7.0,11.0,2.0,0.0,25.0,12.0
ipfilter.csv,0.0,47.0,11.0,1.0,39.0,9.0,3.0,0.0,10.0,8.0
jmol.csv,0.0,16.0,6.0,0.0,33.0,19.0,0.0,0.0,21.0,2.0
pfaedit.csv,0.0,12.0,0.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0
rockbox.csv,1.0,52.0,1.0,1.0,5.0,4.0,24.0,2.0,10.0,0.0
snakeyaml.csv,0.0,40.0,1.0,1.0,0.0,16.0,3.0,0.0,14.0,15.0
theresa.csv,69.0,0.0,88.0,123.0,0.0,161.0,82.0,64.0,223.0,50.0
trinitycore.csv,0.0,52.0,1.0,1.0,60.0,2.0,5.0,1.0,0.0,2.0
wxcode.csv,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,50.0
