,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.43,0.08,0.11,0.81,0.42,0.42,0.35,0.25
atlc.csv,0.99,0.11,0.76,0.83,0.35,0.36,0.2,0.8,0.38,0.46
ipfilter.csv,0.49,0.11,0.74,0.8,0.22,0.34,0.22,0.99,0.42,0.58
jmol.csv,0.72,0.19,0.78,1.0,0.24,0.4,0.26,0.71,0.31,0.33
pfaedit.csv,0.26,0.12,0.97,0.6,0.34,0.38,0.31,0.29,0.38,0.33
rockbox.csv,0.43,0.0,0.51,0.49,0.23,0.21,0.2,0.46,0.28,1.0
snakeyaml.csv,0.6,0.13,0.53,0.62,0.94,0.2,0.18,0.71,0.36,0.41
theresa.csv,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.26,0.0,0.47,0.76,0.12,0.28,0.15,0.29,0.95,0.17
wxcode.csv,0.09,0.44,0.46,0.09,0.13,0.23,1.0,0.3,0.26,0.0
