,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.7,0.82,0.85,0.7,0.66,0.48,0.98,0.96,1.0,0.84,0.73,0.96,0.88,0.81
crux-framework.csv,0.75,0.57,0.81,0.8,0.96,0.95,0.77,0.84,0.72,0.74,0.73,0.77,0.1,0.94
etherboot.csv,0.87,0.77,1.0,0.97,0.54,0.79,1.0,0.72,0.48,0.94,0.92,1.0,0.82,0.94
freebios.csv,0.86,0.84,0.84,0.76,0.75,0.91,0.3,0.99,0.6,0.84,0.89,0.89,0.73,0.76
gebr.csv,0.92,0.9,0.91,0.6,0.69,0.91,0.96,0.36,0.79,0.86,0.68,0.59,0.94,0.94
gnukeda.csv,0.78,0.59,0.89,0.38,0.7,0.77,0.85,0.57,0.56,0.84,0.92,0.77,0.72,0.97
google-gears.csv,0.51,0.9,0.76,0.65,0.82,0.99,0.96,0.92,0.99,0.71,0.44,0.72,0.56,0.97
gstreamer.csv,0.69,0.97,0.98,0.58,0.79,0.81,0.93,0.54,0.8,0.82,0.7,0.41,0.94,1.0
jnode.csv,0.94,0.69,0.25,0.73,0.96,1.01,0.78,0.89,0.94,0.85,0.9,0.97,1.01,0.97
metacosm.csv,0.69,0.76,0.7,0.57,0.91,0.62,0.93,0.5,0.6,0.65,0.69,0.74,0.58,0.34
openmeetings.csv,0.47,0.19,0.56,0.8,0.71,0.55,0.96,0.6,0.62,0.63,0.72,0.63,0.42,0.61
pgui.csv,0.75,0.56,1.0,0.63,0.62,0.83,0.83,0.52,0.45,0.72,0.51,1.0,0.94,1.0
tradelink.csv,0.77,0.87,0.89,0.71,0.86,0.68,0.67,0.44,0.7,0.45,0.76,0.79,0.76,0.8
wxcrp.csv,0.52,0.93,0.96,0.79,0.98,0.69,0.92,0.75,0.91,0.51,0.7,0.67,0.82,0.97
