,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.33,0.42,0.43,0.12,0.61,0.64
kmess.csv,0.46,0.5,0.25,0.14,0.35,0.74
minig.csv,0.3,0.39,0.57,0.13,0.5,0.56
ossbuild.csv,0.38,0.55,0.38,0.3,0.63,0.7
rezilla.csv,0.59,0.42,0.65,0.09,1.0,0.64
webdriver.csv,0.29,0.73,0.36,0.0,0.4,0.74
