,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,1.0,0.88,1.0,1.0,0.98,0.84,0.91,1.0,0.25,0.86,1.0,1.0,0.42
badtrinity-zero.csv,0.78,0.53,0.44,0.84,0.8,0.53,0.87,0.67,0.8,0.64,0.79,0.62,0.89
betoffice.csv,1.0,1.0,1.0,1.0,0.3,0.8,0.81,1.0,0.97,0.92,1.0,1.0,0.8
exordium.csv,1.0,0.72,1.0,1.0,0.81,0.62,0.32,1.0,1.0,1.0,1.0,1.0,0.8
fltk.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gabel.csv,1.0,1.0,1.0,1.0,0.92,0.71,0.69,1.0,1.0,0.12,1.0,1.0,1.0
genoviz.csv,1.0,0.9,1.0,1.0,0.86,0.75,0.5,1.0,1.0,0.46,1.0,1.0,0.0
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nug.csv,0.43,0.98,1.0,0.99,0.77,0.75,0.89,0.66,0.93,0.79,0.99,0.94,0.7
rezilla.csv,1.0,0.33,1.0,1.0,0.87,0.95,0.86,1.0,1.0,0.86,1.0,1.0,1.0
toped.csv,0.9,0.95,1.0,0.99,1.0,0.92,0.95,0.56,1.0,0.77,1.0,1.0,0.68
xmemcached.csv,1.0,1.0,1.0,1.0,0.9,0.4,0.53,1.0,1.0,0.43,1.0,1.0,0.8
zoolib.csv,0.89,1.0,1.0,1.0,1.0,1.0,0.95,0.63,0.91,0.97,1.0,1.0,0.89
