,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.37,0.44,0.43,0.41,0.43,0.42,0.37,0.52,0.33,0.42,0.4
gstreamer.csv,0.45,0.45,0.42,0.43,0.49,0.48,0.49,0.43,0.38,0.42,0.47
ktc.csv,0.42,0.45,0.61,0.48,0.9,0.75,0.51,0.42,0.47,0.53,0.59
mbse.csv,0.46,0.63,0.51,0.48,0.69,0.78,0.57,0.42,0.43,0.71,0.65
nebuladevice.csv,0.65,0.9,0.0,0.58,0.69,0.49,0.93,0.9,0.81,0.0,0.84
neoengine.csv,0.56,0.42,0.36,0.47,0.72,0.4,0.44,0.53,0.37,0.39,0.33
openmalaria.csv,0.33,0.36,0.37,0.4,0.37,0.41,0.37,0.4,0.33,0.31,0.32
rtrt-on-gpu.csv,0.42,0.49,0.37,0.46,0.58,0.85,0.49,0.54,0.35,0.41,0.44
salasaga.csv,0.37,0.39,0.36,0.59,0.46,0.48,0.69,0.39,0.53,0.34,0.38
skia.csv,0.44,0.55,0.48,0.56,0.78,0.52,0.43,0.45,0.39,0.77,0.44
xemeiah.csv,0.42,0.38,0.34,0.91,0.51,0.5,0.51,0.39,0.68,0.33,0.4
