,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.42,0.41,0.31,0.46,0.47,0.16,0.91,0.21,0.21,0.7,0.36
gstreamer.csv,0.5,0.44,0.32,0.5,0.53,0.13,0.96,0.21,0.25,0.78,0.41
ktc.csv,0.67,0.6,0.49,0.64,0.62,0.17,0.95,0.22,0.21,0.83,0.47
mbse.csv,0.47,0.52,0.44,0.52,0.38,0.33,0.88,0.23,0.24,0.72,0.53
nebuladevice.csv,0.35,0.29,0.0,0.48,0.35,0.07,0.93,0.09,0.43,1.0,0.42
neoengine.csv,0.5,0.56,0.25,0.49,0.56,0.17,0.92,0.15,0.19,0.57,0.35
openmalaria.csv,0.44,0.52,0.34,0.75,0.61,0.18,0.92,0.26,0.2,0.69,0.38
rtrt-on-gpu.csv,0.44,0.38,0.25,0.46,0.49,0.54,0.77,0.15,0.2,0.58,0.44
salasaga.csv,0.53,0.45,0.29,0.68,0.58,0.29,0.69,0.3,0.18,0.6,0.35
skia.csv,0.6,0.49,0.35,0.56,0.59,0.18,0.94,0.21,0.22,0.66,0.5
xemeiah.csv,0.59,0.43,0.29,0.82,0.7,0.33,0.75,0.24,0.23,0.61,0.35
