,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.76,0.38,0.24,0.33,0.0,0.25,0.24,0.35,0.23
aime.csv,0.13,0.77,0.32,0.12,0.96,0.35,0.46,0.14,0.32,0.21
badtrinitycore.csv,0.3,0.21,0.26,0.96,0.19,0.52,0.27,0.11,0.32,0.28
electric-core.csv,0.59,0.74,0.96,0.2,0.26,0.38,0.42,0.17,0.49,0.34
geochat.csv,0.21,0.67,0.14,0.24,0.33,0.14,0.21,0.2,0.07,0.97
mumble.csv,0.72,0.71,0.35,0.3,0.21,0.29,1.0,0.28,0.45,0.29
olsrd.csv,0.68,1.0,0.36,0.23,0.34,0.51,0.51,0.24,0.48,0.31
silvertree.csv,0.39,0.28,0.4,0.2,0.21,0.94,0.44,0.16,0.36,0.18
skia.csv,0.7,0.34,0.34,0.21,0.26,0.26,0.37,0.1,1.0,0.33
t-2.csv,0.31,0.36,0.22,0.13,0.23,0.41,0.27,0.97,0.4,0.34
