,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,0.2,0.24,0.36,0.09,0.03,0.05,0.23,0.11,0.17
aime.csv,0.08,0.7,0.14,0.13,0.0,0.09,0.18,0.38,0.07,0.32
badtrinitycore.csv,0.08,0.05,0.06,0.0,0.51,0.66,0.42,0.35,0.54,0.5
electric-core.csv,0.71,0.75,0.0,0.78,0.88,0.77,0.55,0.44,0.63,0.63
geochat.csv,0.33,0.1,0.25,0.09,0.09,0.06,0.14,0.7,0.09,0.0
mumble.csv,0.25,0.15,0.28,0.25,0.18,0.31,0.0,0.23,0.17,0.23
olsrd.csv,0.96,0.0,0.84,0.81,0.57,0.63,0.55,0.76,0.46,0.42
silvertree.csv,0.46,0.55,0.16,0.09,0.16,0.06,0.38,0.54,0.28,0.11
skia.csv,0.62,0.0,0.15,0.62,0.4,0.23,0.15,0.44,0.0,0.36
t-2.csv,0.5,0.7,0.34,0.35,0.47,0.74,0.6,0.0,0.54,0.79
