,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.54,0.67,0.42,0.0,0.65,0.45,0.09,0.92,0.0,0.33,0.73,0.42,0.67,0.88,1.0,0.75,1.0,0.88,0.82
boost.csv,0.85,0.53,0.73,0.69,0.3,0.27,0.65,0.72,0.48,0.86,0.58,0.83,0.54,0.54,0.75,0.05,0.55,0.49,0.76
codepurge.csv,0.46,0.53,0.37,0.79,0.5,0.82,0.27,0.23,0.63,0.47,0.8,0.33,0.71,0.49,0.75,0.14,0.25,0.05,0.59
elateportal.csv,0.38,0.53,0.66,0.76,0.25,0.82,0.92,0.47,0.75,0.53,0.64,0.58,0.75,0.4,0.25,0.95,0.85,0.85,0.76
etics.csv,0.85,0.37,0.55,0.64,0.15,0.18,0.38,0.38,0.52,0.75,0.42,0.14,0.25,0.37,0.75,0.05,0.47,0.59,0.6
factor.csv,0.38,0.1,0.24,0.69,0.1,0.36,0.48,0.4,0.34,0.08,0.07,0.03,0.08,0.09,0.0,0.45,0.68,0.95,0.25
gusanos.csv,0.77,0.38,0.46,0.86,0.1,0.91,0.66,0.72,0.84,0.17,0.31,0.64,0.71,0.54,0.75,0.34,0.0,0.68,0.88
kvs.csv,0.46,0.51,0.14,0.26,0.7,0.09,0.12,0.43,0.37,0.44,0.4,0.61,0.08,0.33,0.0,0.23,0.02,0.05,0.21
lcfizvtop.csv,0.62,0.51,0.6,1.0,0.4,0.82,0.86,0.78,1.0,0.28,0.64,0.78,1.0,0.61,0.25,0.89,0.51,0.05,0.68
mcore3d.csv,0.15,0.32,0.69,0.64,0.7,0.36,0.77,0.15,0.55,0.67,0.45,0.92,0.58,0.47,0.75,0.05,0.62,0.07,0.69
modellus.csv,0.46,0.35,0.55,0.83,0.1,0.18,0.77,0.61,0.66,0.31,0.4,0.47,0.75,0.44,0.75,0.05,0.6,0.1,0.71
modplug.csv,0.85,0.7,0.92,0.9,0.85,0.73,0.86,0.7,0.76,0.97,0.78,1.0,0.75,0.95,1.0,0.98,0.87,0.78,0.97
passwordsafe.csv,1.0,0.59,0.79,0.86,0.25,0.45,0.87,0.4,0.85,0.94,0.67,0.97,0.71,0.67,1.0,0.05,0.57,0.78,0.76
pixel-commandos.csv,0.46,0.28,0.29,0.36,0.0,0.09,0.01,0.14,0.01,0.61,0.25,0.19,0.21,0.33,1.0,0.0,0.08,0.02,0.21
projecteqemu.csv,0.77,0.38,0.42,0.83,0.1,0.18,0.38,0.36,0.36,0.81,0.49,0.83,0.25,0.54,0.5,0.02,0.26,0.1,0.58
pydev.csv,0.77,0.53,0.61,0.6,0.65,0.27,0.33,0.32,0.27,0.81,0.64,0.69,0.42,0.58,1.0,0.05,0.47,0.32,0.66
sandiaportals.csv,0.85,0.52,0.84,0.81,0.15,0.55,0.94,0.49,0.79,0.92,0.55,0.89,0.83,0.65,1.0,0.0,0.81,0.83,0.85
uwom.csv,0.69,0.37,0.64,0.88,0.05,0.64,0.72,0.6,0.22,1.0,0.76,0.64,0.08,0.61,0.75,0.09,0.0,0.56,0.85
xbplayer.csv,0.46,0.67,0.46,0.62,0.6,0.55,0.45,0.91,0.51,0.64,0.75,0.83,0.67,0.56,0.75,0.23,0.3,0.29,0.64
