,id,expected,max_bell,avge,median,bellwether,size
53,2,1,2,1.5,0.925,logicmail.csv,2
48,3,2,7,3.43,1.0,benojt.csv,7
46,4,6,17,7.58,1.0,libopenmetaverse.csv,19
54,5,2,4,2.67,0.855,geotools.csv,6
21,6,6,19,7.26,1.0,google-collections.csv,19
16,7,5,14,4.33,0.87,ngl.csv,15
25,8,4,8,3.75,0.73,emono.csv,12
14,9,2,4,1.6,0.73,ambulant.csv,5
15,11,0,1,1.0,0.86,atunes.csv,1
49,12,1,3,1.67,0.83,gpsmid.csv,3
55,14,1,1,1.0,0.64,nutz.csv,3
47,15,4,13,6.42,0.98,werx.csv,13
18,16,4,9,4.55,0.82,google-gears.csv,11
23,17,3,8,2.89,1.0,enlightenment.csv,9
13,18,2,6,3.29,0.8,zemljanka.csv,7
24,19,1,2,0.67,0.69,lmms.csv,3
12,20,1,4,1.75,0.77,simplewebservices.csv,4
26,21,5,14,7.33,0.97,arianne.csv,15
56,22,6,16,7.65,0.93,biopax.csv,17
45,23,2,4,3.17,0.885,xtreemfs.csv,6
22,28,2,3,2.0,0.6799999999999999,v8.csv,6
17,29,1,4,2.0,0.705,thout.csv,4
36,30,5,16,5.19,0.94,somap.csv,17
31,31,4,10,5.69,0.94,uface.csv,13
5,32,6,14,7.5,0.89,paintown.csv,18
11,34,4,8,3.83,0.835,pnotepad.csv,12
6,35,3,8,2.89,0.83,mob-sen-plat.csv,9
30,36,6,17,9.61,0.97,sylpheed-claws.csv,18
37,37,6,19,8.47,0.98,buddata-ebxml-registry.csv,19
29,38,3,7,4.12,0.8500000000000001,frogatto.csv,8
38,39,2,3,2.17,0.645,salasaga.csv,6
51,40,5,14,6.33,0.98,zengine.csv,15
43,41,2,4,2.0,0.655,apolloplayer.csv,8
19,42,6,14,8.41,1.0,hydrogen.csv,17
28,43,3,8,3.6,0.79,silvertree.csv,10
27,44,6,18,8.16,1.0,irrlicht.csv,19
20,45,6,19,7.32,0.86,modplug.csv,19
42,46,3,6,2.1,0.69,vdsf.csv,10
52,47,5,14,7.19,0.85,qgo.csv,16
44,48,5,14,6.0,0.91,grisbi.csv,14
50,49,1,3,1.75,0.91,pcgen.csv,4
3,50,2,5,2.83,0.905,alpine.csv,6
8,51,4,9,6.31,0.83,netatalk.csv,13
35,53,4,13,6.31,0.965,glelite.csv,14
34,54,4,13,6.42,0.9,fontforge.csv,13
39,55,6,17,8.53,0.93,barracudamvc.csv,18
7,56,2,2,2.14,0.62,wgs-assembler.csv,7
4,57,3,7,2.67,0.8,abbot.csv,9
9,58,6,15,8.26,0.91,bwapi.csv,19
1,59,2,5,2.4,0.77,roolo.csv,5
10,60,3,8,3.7,0.88,jmol.csv,10
0,61,4,12,6.91,1.0,wpdev.csv,12
33,62,6,19,10.17,1.0,sevenupdate.csv,20
40,63,2,5,2.71,0.76,graphmak.csv,7
41,64,4,5,2.77,0.61,liferea.csv,13
32,65,1,1,0.5,0.515,tradelink.csv,2
2,66,4,11,5.0,0.905,jsr308-langtools.csv,14
