,f1,g,recall,precision,pf,cdom,bellwether
1,0.715,0.495,0.46,0.47,0.47,7.0,beast-mcmc.csv
10,0.785,0.5449999999999999,0.39,0.39,0.48,1.0,atunes.csv
13,0.5,0.48,0.42,0.47,0.48,9.0,aztec.csv
27,0.57,0.64,0.43,0.435,0.44,4.0,jaql.csv
33,0.72,0.625,0.57,0.49,0.46,17.0,heekscad.csv
52,0.345,0.42,0.35,0.44,0.46,13.0,jvcl.csv
24,0.81,0.595,0.5449999999999999,0.5449999999999999,0.5449999999999999,1.0,magicwars.csv
25,0.63,0.51,0.41,0.45999999999999996,0.5,2.0,esmf.csv
26,0.74,0.635,0.53,0.545,0.56,0.0,xmemcached.csv
