,id,expected,max_bell,avge,median,bellwether,size
53,2,0,1,1.0,0.51,mclient-mume.csv,2
48,3,1,1,1.29,0.56,jatlas.csv,7
46,4,3,5,1.89,0.6,mobicents.csv,19
54,5,1,3,1.33,0.655,springside.csv,6
21,6,3,8,2.42,0.62,freelords.csv,19
16,7,2,6,2.4,0.63,joustsim.csv,15
25,8,2,1,1.25,0.54,mesa3d.csv,12
14,9,1,0,0.4,0.61,jgnash.csv,5
15,11,0,1,1.0,0.84,atunes.csv,1
49,12,0,1,1.0,0.64,columba.csv,3
55,14,0,1,1.0,0.6,amanda.csv,3
47,15,2,1,1.67,0.52,gdis.csv,13
18,16,2,4,2.09,0.59,google-gears.csv,11
23,17,1,0,0.78,0.6,psycle.csv,9
13,18,1,2,1.29,0.6,gstreamer.csv,7
24,19,0,2,1.0,0.67,lmms.csv,3
12,20,1,3,1.25,0.705,simplewebservices.csv,4
26,21,2,7,3.47,0.64,auber.csv,15
56,22,3,7,3.59,0.64,phonon-vlc-mplayer.csv,17
45,23,1,2,1.67,0.605,mplayer-ce.csv,6
22,28,1,1,1.33,0.575,bochs.csv,6
17,29,1,1,0.75,0.585,fityk.csv,4
36,30,3,4,1.88,0.56,kdenlive.csv,17
31,31,2,4,2.92,0.64,itext.csv,13
5,32,3,5,2.0,0.585,boost-sandbox.csv,18
11,34,2,5,1.75,0.645,heekscad.csv,12
6,35,1,1,1.0,0.61,jguard.csv,9
30,36,3,8,3.56,0.65,jajuk.csv,18
37,37,3,5,3.26,0.61,dvd-create.csv,19
29,38,1,4,1.5,0.645,sbml.csv,8
38,39,1,2,1.33,0.605,pidgin.csv,6
51,40,2,4,1.4,0.63,owlib.csv,15
43,41,1,4,1.71,0.605,apolloplayer.csv,8
19,42,3,9,3.71,0.66,autowikibrowser.csv,17
28,43,2,0,1.7,0.635,electric-core.csv,10
27,44,3,6,3.0,0.61,fltk.csv,19
20,45,3,7,4.26,0.62,passwordsafe.csv,19
42,46,2,2,0.6,0.5349999999999999,ldview.csv,10
52,47,3,7,3.5,0.635,yafdotnet.csv,16
44,48,2,5,2.36,0.605,jaolt.csv,14
50,49,1,2,1.25,0.625,selenium.csv,4
3,50,1,1,0.67,0.6,reactos-mirror.csv,6
8,51,2,10,5.23,0.69,grafx2.csv,13
35,53,2,2,1.85,0.555,cascading.csv,14
34,54,2,2,1.42,0.59,jcl.csv,13
39,55,3,5,2.12,0.565,xharbour.csv,18
7,56,1,0,0.57,0.52,jvcl.csv,7
4,57,1,2,1.11,0.54,sabbu.csv,9
9,58,3,9,3.68,0.64,ontomorphtab.csv,19
1,59,1,1,0.6,0.57,cleartk.csv,5
10,60,2,2,2.1,0.5800000000000001,jmol.csv,10
0,61,2,5,2.45,0.605,unicase.csv,12
33,62,3,5,2.89,0.555,xcf.csv,20
40,63,1,2,1.29,0.57,hazelcast.csv,7
41,64,2,2,1.77,0.62,liferea.csv,13
32,65,0,1,0.5,0.52,tradelink.csv,2
2,66,2,5,2.38,0.63,free-evolution.csv,14
